# name, ra, dec, redshift, major axis, axis ratio, position angle, frequency, refcode 
IC 3407, 187.26602, 27.77882, 0.023373, 55.2, 0.38, 145.0, 138000000000000.0,  20032MASX.C.......:  
2dFGRS N320Z113, 187.26608, 0.10381, 0.003996, -99.99, -99.99, -99.99, -99.99, -- 
IC 3410, 187.27573, 19.00482, 0.048043, 3.57, 0.86, 2.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3411, 187.30151, 24.58422, 0.077932, 4.58, 0.43, 172.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122919.41+075557.6, 187.33091, 7.93267, 0.003609, 0.23, 0.71, 161.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122919.64+123038.1, 187.3319, 12.5106, 0.0047, 0.18, 0.1, 92.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122920.57+080359.5, 187.33573, 8.06654, 0.037806, 0.02, 1.0, 75.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122920.96+080425.8, 187.33734, 8.07384, 0.00025, 0.18, 0.15, 120.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4462, 187.33842, -23.16636, 0.005977, 144.0, 0.4, 125.0, 138000000000000.0,  20032MASX.C.......:  
IC 3409, 187.33852, 14.78934, 0.057859, 6.98, 0.76, 142.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4464, 187.33878, 8.15665, 0.004146, -99.99, -99.99, -99.99, -99.99, -- 
IC 3413, 187.34373, 11.43407, 0.004425, 9.02, 0.68, 168.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122922.59+135641.3, 187.34415, 13.94483, 0.00417, 0.12, 0.11, 169.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3412, 187.34439, 9.98902, 0.002448, 11.25, 0.38, 16.0, 477000000000000.0,  2004SDSS3.C...0000:  
NGC 4465, 187.34818, 8.02612, 0.024503, 5.87, 0.52, 80.0, 477000000000000.0,  2006SDSS5.C...0000:  
SDSS J122925.97+075948.6, 187.35825, 7.99684, 0.001971, 0.41, 0.13, 148.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122926.22+080233.7, 187.35928, 8.0427, 0.00445, 0.12, 0.25, 53.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 0796, 187.35968, 16.40498, 0.005197, 65.6, 0.42, 145.0, 138000000000000.0,  20032MASX.C.......:  
SDSS J122927.52+132735.8, 187.36469, 13.45993, 0.008019, 0.29, 0.05, 110.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J122927.61+075359.5, 187.36522, 7.90028, 0.002752, 0.36, 0.15, 125.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122927.90+075822.9, 187.36629, 7.97306, 0.002812, 0.21, 0.2, 62.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4469, 187.36679, 8.75017, 0.001962, 16.72, 0.5, 88.0, 477000000000000.0,  2004SDSS3.C...0000:  
IC 3414, 187.3699, 6.77182, 0.001769, 15.67, 0.68, 22.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4467, 187.37607, 7.99287, 0.004638, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J122930.27+132246.4, 187.3761, 13.3796, 0.007792, 0.66, 0.14, 16.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4466, 187.37738, 7.69642, 0.002495, 13.9, 0.35, 96.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122930.76+132540.9, 187.3782, 13.428, 0.007352, 0.2, 0.25, 102.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4468, 187.37872, 14.0491, 0.002966, 9.39, 0.74, 72.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3416, 187.39551, 10.79284, -0.000123, 12.76, 0.55, 69.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122935.06+075414.5, 187.39611, 7.90404, 0.003893, 0.22, 0.05, 47.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4471, 187.40439, 7.93278, 0.002911, 3.44, 0.97, 80.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122937.74+075953.6, 187.40726, 7.99824, 0.004787, 0.13, 0.91, 95.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4470, 187.40746, 7.82434, 0.007805, 12.73, 0.69, 1.0, 477000000000000.0,  2006SDSS5.C...0000:  
SDSS J122937.87+080156.8, 187.40782, 8.03246, 0.004046, 0.1, 0.43, 101.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122938.32+080511.8, 187.4097, 8.08662, 0.003609, 0.12, 0.14, 71.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122938.51+075837.3, 187.41047, 7.97704, 0.003963, 0.23, 0.05, 33.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3421, 187.41078, 26.23066, 0.022636, 8.64, 0.83, 18.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122939.49+080427.3, 187.41455, 8.07426, 0.036632, 0.0, 0.69, 74.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122939.91+080235.6, 187.41633, 8.04324, 0.003936, 0.07, 1.0, 51.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122940.61+132850.8, 187.41919, 13.48082, 0.006715, 0.32, 0.25, 172.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122940.69+122930.4, 187.4195, 12.4918, 0.003502, 0.0, 0.69, 66.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122941.64+132910.5, 187.42355, 13.48626, 0.008019, 0.48, 0.05, 81.0, 477000000000000.0,  2007SDSS6.C...0000:  
[CBC2003] 122709.13+081342.1, 187.42362, 7.95206, 0.002161, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J122941.98+080306.2, 187.42495, 8.05173, 0.004143, 0.15, 0.1, 104.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122943.11+080349.2, 187.42964, 8.06369, 0.00507, 0.12, 0.85, 34.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122943.88+075756.9, 187.43285, 7.9658, 0.003576, -99.99, -99.99, -99.99, -99.99, -- 
IC 3418, 187.433, 11.40469, 0.000567, 88.7, 0.66, nan, 681000000000000.0,  1991RC3.9.C...0000d  
IC 3419, 187.43577, 15.02475, 0.004406, 9.9, 0.55, 2.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3424, 187.43765, 24.40867, 0.071573, 1.52, 0.49, 96.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122945.46+075759.2, 187.43943, 7.96646, 0.066713, 0.0, 0.53, 43.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122946.73+132147.2, 187.4447, 13.3631, 0.008316, 0.17, 0.1, 81.0, 477000000000000.0,  2007SDSS6.C...0000:  
MESSIER 049, 187.44484, 8.00048, 0.003272, 10.63, 0.65, 172.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4475, 187.44826, 27.24334, 0.02466, 11.18, 0.71, 11.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4472:[ABT94] 074, 187.44992, 7.97634, 0.036919, -99.99, -99.99, -99.99, -99.99, -- 
NGVS J122948.37+080042.0, 187.45142, 8.01172, 0.002652, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J122948.59+121339.6, 187.4525, 12.2277, 0.004536, 0.2, 0.83, 105.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4472:[CMC2003] 5323, 187.45346, 8.01647, 0.004526, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4473, 187.45367, 13.42942, 0.007485, 187.4, 0.54, 95.0, 138000000000000.0,  2003AJ....125..525J  
2CXO J122949.5+075925, 187.45647, 7.99043, 0.002208, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J122949.75+075542.5, 187.45732, 7.92847, 0.003569, 0.09, 0.73, 105.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122949.92+080436.6, 187.45801, 8.07683, 0.039027, 0.04, 0.55, 140.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122950.42+075420.6, 187.46011, 7.90574, 0.001141, 0.14, 0.91, 96.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J122950.62+112234.8, 187.46175, 11.37639, 0.000734, 0.59, 0.4, 108.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122951.49+140453.9, 187.46456, 14.08166, 0.00528, 0.4, 0.17, 157.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4472:[GLK96] 2431, 187.46581, 7.96277, 0.049367, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J122952.12+132211.6, 187.4671, 13.3699, 0.007432, 0.37, 0.05, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122952.08+112204.6, 187.46713, 11.36794, 0.000751, 0.96, 0.37, 103.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122952.33+132538.8, 187.46806, 13.42746, 0.007645, 23.5, 0.75, 99.0, 477000000000000.0,  2005SDSS4.C...0000:  
SDSS J122953.19+112154.4, 187.46983, 11.36506, 0.000737, 0.62, 0.31, 67.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122952.74+112249.2, 187.46988, 11.38025, 0.000977, 0.23, 0.09, 79.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122952.92+075559.4, 187.47054, 7.93317, 0.002722, 0.09, 1.0, 76.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4474, 187.47315, 14.06861, 0.005374, 8.93, 0.56, 82.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J122954.01+080233.0, 187.47505, 8.04251, 0.001871, 0.31, 0.05, 11.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122954.03+075658.1, 187.47513, 7.94948, 0.003966, 0.19, 0.44, 110.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3422, 187.4776, 14.6884, 0.08017, 6.05, 0.82, 81.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122954.84+140451.8, 187.47851, 14.08106, 0.0055, 2.35, nan, nan, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122955.87+080003.5, 187.48283, 8.00099, 0.003756, 0.11, 1.0, 50.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGVS J122955.91+075722.8, 187.48283, 7.95644, 0.001341, -99.99, -99.99, -99.99, -99.99, -- 
IC 3425, 187.48497, 10.61534, 0.024397, 4.38, 0.43, 36.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122957.59+075400.4, 187.48999, 7.90013, 0.001498, 0.17, 0.15, 61.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122957.60+132815.2, 187.49002, 13.47091, 0.007048, 0.13, 0.64, 109.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J122957.93+080202.5, 187.49146, 8.03393, 0.001914, 0.16, 0.35, 16.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.06+080409.1, 187.49192, 8.06921, 0.002568, 0.15, 0.77, 72.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.37+075312.9, 187.49321, 7.88694, 0.002832, 0.23, 0.05, 19.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.63+075554.4, 187.49433, 7.93179, 0.002465, 0.22, 0.66, 161.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.66+132301.1, 187.4945, 13.3836, 0.007012, 0.13, 0.05, 164.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.72+075517.6, 187.49469, 7.92156, 0.00438, 0.26, 0.35, 0.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.87+080431.9, 187.49531, 8.07554, 0.002462, 0.02, 0.88, 133.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122958.94+075800.7, 187.49561, 7.96688, 0.003856, 0.1, 1.0, 107.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4476, 187.49617, 12.34874, 0.006538, 7.41, 0.62, 26.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122959.20+075611.2, 187.4967, 7.93646, 0.00412, 0.25, 0.6, 54.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122959.35+075632.2, 187.49729, 7.9423, 0.001571, 0.12, 1.0, 76.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J122959.38+075848.0, 187.49745, 7.98001, 0.041098, 0.09, 0.09, 48.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123000.59+080006.8, 187.50248, 8.0019, 0.023216, 0.0, 0.32, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123000.68+075523.4, 187.50286, 7.92318, 0.00496, 0.4, 0.92, 88.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123001.14+132046.6, 187.5048, 13.3463, 0.007402, 0.47, 0.05, 137.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123001.17+132502.8, 187.5049, 13.4175, 0.007005, 0.6, 0.05, 149.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123001.48+075955.7, 187.50618, 7.99883, 0.002929, 0.36, 0.05, 69.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4477, 187.50924, 13.63653, 0.004463, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J123002.48+075846.6, 187.51035, 7.97964, 0.006118, 0.15, 0.54, 0.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123004.05+120714.0, 187.51688, 12.12056, 0.003909, 0.15, 1.0, 106.0, 477000000000000.0,  2007SDSS6.C...0000:  
VIII Zw 189, 187.52114, 8.07338, 0.004503, 7.59, 0.99, 49.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123005.80+123222.6, 187.5241, 12.5397, 0.00475, 0.12, 1.0, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123006.27+080203.4, 187.52616, 8.03428, 0.040028, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J123006.89+080509.4, 187.52871, 8.08596, 0.002962, 0.12, 0.99, 114.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123007.55+123630.8, 187.53149, 12.60857, 0.004082, 0.1, 1.0, 105.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3429, 187.53299, 23.54523, 0.066301, 2.34, 0.88, 74.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123008.31+080341.3, 187.53465, 8.06149, 0.035711, 0.12, 0.2, 12.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123009.08+075841.4, 187.53787, 7.97817, 0.02958, 0.14, 0.71, 131.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4482, 187.54303, 10.77948, 0.006089, 11.22, 0.59, 137.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123012.03+080258.5, 187.55016, 8.04959, 0.005164, 0.1, 0.55, 101.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123014.97+132700.2, 187.5624, 13.45, 0.007345, 0.45, 0.05, 19.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123015.48+080215.8, 187.56469, 8.03756, 0.003222, 0.02, 0.74, 78.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123016.26+124632.0, 187.5678, 12.7756, 0.003112, 0.22, 0.15, 141.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3430, 187.57038, 9.0853, 0.006721, 72.0, 0.25, 115.0, 740000000000000.0,  1973UGC...C...0000N  
NGC 4478, 187.57258, 12.32866, 0.0045, 0.66, 0.94, 161.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123018.04+121923.1, 187.57519, 12.32311, 0.004715, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4479, 187.57657, 13.57765, 0.002827, 10.95, 0.63, 18.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123019.60+120926.9, 187.5818, 12.1568, 0.002872, 0.19, 0.63, 107.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123024.14+120713.8, 187.6006, 12.1205, 0.00502, 0.49, 0.05, 145.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3431, 187.60079, 11.61454, 0.058688, 5.11, 0.91, 14.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123025.69+122620.8, 187.60729, 12.43919, 0.004563, 0.18, 0.72, 172.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4480, 187.61167, 4.24653, 0.008104, 16.72, 0.53, 176.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123026.90+122331.3, 187.61206, 12.39197, 0.004693, 0.13, 1.0, 137.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3434, 187.6136, 18.80976, 0.048289, 5.77, 0.51, 57.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3432, 187.61604, 14.16015, 0.020191, 7.71, 0.59, 58.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3436, 187.62478, 19.67306, 0.002885, 5.65, 0.56, 130.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123030.79+121842.6, 187.62859, 12.31157, 0.007689, 0.28, 1.0, 102.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123031.57+122601.4, 187.6314, 12.4341, 0.002862, 0.15, 0.97, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4486B, 187.63321, 12.49017, 0.005187, -99.99, -99.99, -99.99, -99.99, -- 
WISEA J123032.30+122845.1, 187.63461, 12.47926, 0.001821, 0.13, 0.45, 104.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123034.12+122246.4, 187.64217, 12.37957, 0.003669, 0.08, 1.0, 111.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123034.72+122734.1, 187.6447, 12.45948, 0.00432, 0.66, 0.5, 106.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123038.22+122750.0, 187.6593, 12.4639, 0.004326, 0.27, 0.6, 58.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123039.15+122132.4, 187.66316, 12.35901, 0.003623, 0.16, 0.77, 163.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123039.69+122904.5, 187.6654, 12.4846, 0.004003, 0.39, 0.31, 111.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3435, 187.66609, 15.12969, -0.000123, 11.64, 0.34, 145.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123040.11+122625.4, 187.6672, 12.4404, 0.004333, 1.18, 0.19, 45.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4483, 187.66936, 9.01567, 0.002947, 8.95, 0.67, 68.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123040.77+121658.9, 187.6701, 12.283, 0.003773, 0.17, 0.68, 132.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123040.98+122520.4, 187.6708, 12.4223, 0.004837, 1.0, 0.05, 159.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123041.33+122611.3, 187.6722, 12.4365, 0.00455, 0.27, 0.3, 80.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123041.80+122614.8, 187.6742, 12.4375, 0.004253, 0.17, 0.54, 156.0, 477000000000000.0,  2007SDSS6.C...0000:  
UGC 07652 NED01, 187.67791, 12.35974, 0.087309, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J123044.52+121202.6, 187.6855, 12.2008, 0.004733, 0.12, 0.05, 44.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123044.71+122605.4, 187.6864, 12.4349, 0.004803, 3.81, 0.56, 80.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123045.39+122033.2, 187.68891, 12.34263, 0.006748, 0.13, 0.99, 67.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3437, 187.69128, 11.34319, 0.0058, 7.13, 0.63, 67.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123046.42+121722.9, 187.69345, 12.28971, 0.00494, 0.16, 0.84, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123046.50+122017.8, 187.69376, 12.33828, 0.003349, 0.14, 0.98, 136.0, 477000000000000.0,  2007SDSS6.C...0000:  
VCC 1311, 187.69716, 7.60552, 0.00503, 9.23, 0.92, 26.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123047.39+123302.2, 187.6975, 12.55047, 0.004473, 0.17, 0.89, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123048.19+123510.8, 187.70081, 12.58635, 0.003039, 0.15, 0.98, 106.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123048.30+121952.1, 187.70129, 12.33115, 0.009263, 0.11, 0.95, 69.0, 477000000000000.0,  2007SDSS6.C...0000:  
MESSIER 087, 187.70593, 12.39112, 0.004283, -99.99, -99.99, -99.99, -99.99, -- 
LEDA 139922, 187.708, 12.4611, 0.023349, -99.99, -99.99, -99.99, -99.99, -- 
SDSS J123050.46+122608.7, 187.7103, 12.4358, 0.004009, 0.19, 0.6, 107.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGVS J123051.07+122611.9, 187.7128, 12.4367, 0.003793, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4488, 187.71409, 8.36003, 0.003269, 13.85, 0.42, 150.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4489, 187.7177, 16.75882, 0.003135, 9.07, 0.92, 0.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123052.48+122111.1, 187.7187, 12.3531, 0.007715, 0.53, 0.05, 126.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123053.09+123410.0, 187.7212, 12.5695, 0.00494, 0.83, 0.05, 45.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123053.87+122503.1, 187.7245, 12.4175, 0.006471, 0.08, 0.06, 141.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123054.94+122511.4, 187.72895, 12.41986, 0.003232, 0.34, 0.49, 61.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123055.60+122507.5, 187.7316, 12.4188, 0.00488, 0.38, 0.05, 75.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123056.04+122440.3, 187.7335, 12.4112, 0.004853, 0.18, 0.05, 86.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123056.33+122117.3, 187.7347, 12.3548, 0.00456, 0.26, 1.0, 120.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123056.51+121940.9, 187.7355, 12.328, 0.003306, 0.13, 0.07, 113.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123056.81+121707.6, 187.73645, 12.28548, 0.006064, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4491, 187.73805, 11.48344, 0.001693, 14.69, 0.48, 143.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123057.27+122122.6, 187.7387, 12.3563, 0.003819, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4486A, 187.74056, 12.27042, 0.002528, 5.09, 0.76, 11.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123057.76+122101.9, 187.7407, 12.3505, 0.004707, 0.37, 0.05, 71.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123057.83+122156.6, 187.741, 12.3657, 0.004106, 0.25, 0.05, 30.0, 477000000000000.0,  2007SDSS6.C...0000:  
2MASS J12305784+0804351, 187.74103, 8.07642, 0.01627, 0.19, 0.79, 54.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123058.42+122344.7, 187.7434, 12.3958, 0.003633, 0.21, 0.15, 88.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123058.85+122300.8, 187.7452, 12.3836, 0.00477, 0.34, 0.31, 147.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3439, 187.74788, 25.56196, 0.022189, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4492, 187.74881, 8.07797, 0.005804, 9.11, 0.91, 31.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123059.85+122309.1, 187.7494, 12.3858, 0.004873, -99.99, -99.99, -99.99, -99.99, -- 
NGC 4472 DW04, 187.75462, 7.72325, 0.004174, 2.8, 0.82, 140.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123102.13+122749.7, 187.7589, 12.46381, 0.004053, 0.22, 0.45, 149.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123102.59+123414.1, 187.76079, 12.57059, 0.003969, 0.28, 0.99, 75.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123103.05+121729.0, 187.7627, 12.2913, 0.007742, 0.05, 0.6, 105.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123103.60+122532.9, 187.765, 12.42582, 0.006211, 0.61, 0.47, 79.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123103.65+123213.1, 187.76535, 12.53694, 0.002312, 0.15, 0.7, 105.0, 477000000000000.0,  2007SDSS6.C...0000:  
CGCG 014-054, 187.76583, 1.67611, 0.003686, 73.8, 0.57, 80.0, 681000000000000.0,  1991RC3.9.C...0000d  
IC 3441, 187.76843, 28.85271, 0.065469, 3.45, 0.73, 147.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123104.36+122321.9, 187.76845, 12.38924, 0.003859, 0.23, 0.8, 58.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4487, 187.76847, -8.05392, 0.003456, 134.6, 0.54, 95.0, 138000000000000.0,  20032MASX.C.......:  
WISEA J123104.47+115635.8, 187.76866, 11.94329, 0.003056, 0.26, 0.85, 135.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 3440, 187.77146, 12.02983, 0.025964, 6.11, 0.75, 96.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123105.17+122402.4, 187.7715, 12.4007, 0.003936, 0.36, 0.05, 162.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123105.51+122325.5, 187.773, 12.3905, 0.003372, 0.3, 0.8, 96.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123105.64+122343.0, 187.7736, 12.3953, 0.005941, 0.24, 0.5, 35.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 4493, 187.78487, 0.6137, 0.023083, 6.85, 0.81, 138.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123108.72+120730.5, 187.7863, 12.1252, 0.004597, 0.14, 0.67, 131.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123109.27+122241.3, 187.7886, 12.3782, 0.002498, 0.17, 0.39, 75.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123109.85+121532.0, 187.791, 12.2589, 0.002368, 0.42, 0.48, 134.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123110.14+121627.8, 187.79227, 12.2744, 0.006064, 0.46, 0.3, 118.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123111.60+122030.0, 187.7983, 12.3417, 0.006141, 0.1, 0.15, 119.0, 477000000000000.0,  2007SDSS6.C...0000:  
WISEA J123111.90+124101.3, 187.79962, 12.68371, 0.004301, 0.21, 0.93, 107.0, 477000000000000.0,  2007SDSS6.C...0000:  
SDSS J123113.52+122037.1, 187.8064, 12.3437, 0.003469, 0.31, 0.05, 72.0, 477000000000000.0,  2007SDSS6.C...0000:  
