# name, ra, dec, redshift, major axis, axis ratio, position angle, frequency, refcode 
NGC 6132, 245.91197, 11.78622, 0.016558, 11.32, 0.35, 128.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1219, 246.11434, 19.48253, 0.034969, 7.64, 0.49, 121.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6148, 246.76676, 24.09318, 0.051241, 4.65, 0.42, 57.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6149, 246.85098, 19.59717, 0.008124, 5.83, 0.68, 19.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6158, 246.92037, 39.38302, 0.029954, 4.6, 0.77, 81.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6161, 247.08596, 32.81056, 0.032953, 6.36, 0.46, 148.0, 477000000000000.0,  2006SDSS5.C...0000:  
NGC 6162, 247.09325, 32.84934, 0.037282, 5.56, 0.63, 35.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6166C, 247.09714, 39.57034, 0.02915, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6163, 247.11631, 32.8464, 0.034642, 5.46, 0.7, 2.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6166A NED01, 247.12936, 39.52115, 0.033963, 1.98, 0.73, 122.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6166A, 247.12958, 39.5225, 0.028076, 18.0, 0.83, nan, 740000000000000.0,  1964MCG2..C...0000V  
NGC 6166A NED02, 247.12959, 39.52361, 0.03235, 2.21, 0.46, 51.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6166 NED01, 247.15935, 39.55118, 0.03118, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6166, 247.15935, 39.55118, 0.030354, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6166 NED02, 247.16226, 39.55087, 0.0347, -99.99, -99.99, -99.99, -99.99, -- 
NGC 6166 NED03, 247.16315, 39.55282, 0.02673, 8.66, 0.73, 20.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6166D, 247.16347, 39.51853, 0.02518, 3.63, 0.57, 53.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6166B, 247.22175, 39.56003, 0.029157, 4.16, 0.8, 166.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 1220, 247.40959, 8.45073, 0.032973, 5.83, 0.83, 140.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4607, 247.56614, 24.57435, 0.063904, 2.84, 0.78, 153.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6177, 247.66201, 35.0564, 0.03096, 6.82, 0.49, 31.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6179, 247.69601, 35.10249, 0.037376, 1.87, 0.56, 7.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6168, 247.8382, 20.18509, 0.008402, 13.44, 0.35, 116.0, 477000000000000.0,  2006SDSS5.C...0000:  
NGC 6181, 248.08738, 19.82638, 0.007909, 86.6, 0.66, 175.0, 138000000000000.0,  20032MASX.C.......:  
IC 4609, 248.25675, 22.79741, 0.036325, 6.73, 0.93, 31.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6185, 248.32432, 35.34238, 0.0343, 7.49, 0.63, 3.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4610, 248.41315, 39.2576, 0.031475, 2.41, 0.53, 48.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4611, 248.42637, 39.18517, 0.029841, 3.46, 0.68, 20.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4612, 248.4568, 39.26326, 0.031761, 4.51, 0.97, 7.0, 477000000000000.0,  2004SDSS2.C...0000:  
NGC 6186, 248.60613, 21.54087, 0.009795, 11.05, 0.44, 60.0, 477000000000000.0,  2006SDSS5.C...0000:  
NGC 6156, 248.71892, -60.61892, 0.010885, 94.8, 0.62, 130.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6195, 249.13576, 39.02791, 0.029986, 9.26, 0.62, 41.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6194, 249.15484, 36.20046, 0.031031, 4.71, 0.83, 103.0, 477000000000000.0,  2007SDSS6.C...0000:  
IC 4614, 249.44661, 36.11496, 0.032876, 6.7, 0.88, 81.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6196, 249.47466, 36.07303, 0.031352, 4.69, 0.61, 140.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6197, 249.49947, 35.99555, 0.032082, 4.68, 0.57, 36.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6201, 250.06006, 23.76532, 0.035545, 3.56, 0.84, 60.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6203, 250.11414, 23.7748, 0.036312, 35.8, 0.9, 0.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6183, 250.42463, -69.37218, 0.016278, 121.8, 0.3, 35.0, 138000000000000.0,  20032MASX.C.......:  
IC 4617, 250.5337, 36.68412, 0.036467, 6.74, 0.37, 32.0, 477000000000000.0,  2004SDSS3.C...0000:  
IC 1224, 250.73455, 19.2544, 0.033953, 5.57, 0.73, 88.0, 477000000000000.0,  2007SDSS6.C...0000:  
NGC 6207, 250.76548, 36.83222, 0.002782, 114.4, 0.4, 20.0, 138000000000000.0,  20032MASX.C.......:  
NGC 6212, 250.84644, 39.80647, 0.030176, 3.65, 0.71, 87.0, 477000000000000.0,  2007SDSS6.C...0000:  
