

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
7548|NGC 4876|194.93502 |  27.91245 |G|  6700| 0.022349 |SLS |15.1g|  0.000|194|3|83|33|37|10|0
7549|WISEA J125944.69+275323.1|194.93622 |  27.88978 |G|  6807| 0.022706 |SLS |18.35|  0.000|38|0|59|16|9|4|0
7550|WISEA J125946.71+280000.4|194.94468 |  28.00012 |G|  6195| 0.020665 |SLS |18.8g|  0.000|12|0|38|7|1|4|0
7551|IC 3998|194.94491 |  27.97386 |G|  9419| 0.031420 |SLS |15.4g|  0.000|135|1|74|29|28|7|1
7552|WISEA J125946.94+275930.7|194.94560 |  27.99189 |G|  8292| 0.027659 |UUN |18.3g|  0.000|46|0|49|20|10|4|2
7553|IC 0841|194.94731 |  21.81322 |G|  7149| 0.023846 |SLS |15.4 |  0.000|65|1|62|23|20|8|0
7554|WISEA J125948.58+275857.8|194.95246 |  27.98278 |G|  5358| 0.017872 |UUN |18.6g|  0.000|23|0|40|11|6|4|0
7555|SDSS J125949.95+275433.0|194.95824 |  27.90918 |G|  8671| 0.028924 |SLS |19.4g|  0.000|14|0|26|5|1|4|0
7556|2MASX J12595013+2755292|194.95884 |  27.92485 |G|  9832| 0.032797 |SLS |16.8g|  0.000|62|0|45|17|14|6|1
7557|WISEA J125950.18+275445.2|194.95909 |  27.91256 |G|  7246| 0.024170 |SLS |18.2g|  0.000|52|0|43|25|15|4|0
7558|IC 3994|194.96182 |  22.71673 |G| 21641| 0.072185 |SLS |16.8g|  0.000|18|0|40|7|3|4|0
7559|COMAi J125953.929+275813.75|194.97475 |  27.97051 |G|  6740| 0.022482 |UUN |18.63|  0.000|22|0|16|8|4|0|3
7560|IC 4010|194.97521 |  37.85910 |G| 10386| 0.034645 |SLS |16.0g|  0.000|15|0|42|8|8|6|0
7561|NGC 4883|194.98338 |  28.03471 |G|  8158| 0.027211 |SLS |15.0g|  0.000|144|3|92|28|29|7|1
7562|WISEA J125956.66+275548.1|194.98609 |  27.93005 |G|  7706| 0.025704 |SLS |16.1g|  0.000|86|0|59|30|29|6|1
7563|NGC 4881|194.99063 |  28.24655 |G|  6740| 0.022482 |SUN |14.7b|  0.000|196|5|62|17|21|7|0
7564|2MASS J12595810+2757149|194.99215 |  27.95413 |G|   -33|-0.000111 |SLS |18.1V|  0.000|4|0|30|5|2|3|1
7565|WISEA J125959.47+275626.1|194.99744 |  27.94012 |G|  6107| 0.020371 |SLS |17.37|  0.000|51|0|30|19|10|0|0
7566|NGC 4893|194.99848 |  37.19343 |G| 10611| 0.035394 |SUN |15.5 |  0.000|24|0|44|9|3|8|0
7567|NGC 4893A|194.99925 |  37.18818 |G| 10711| 0.035728 |SLS |16.0g|  0.000|28|0|33|10|7|6|0
7568|WISEA J130000.96+275643.7|195.00404 |  27.94549 |G|  6841| 0.022819 |SLS |17.8g|  0.000|54|0|44|17|13|4|0
7569|IC 4020|195.01439 |  38.60981 |G| 10334| 0.034471 |SLS |16.3g|  0.000|23|0|41|20|14|2|0
7570|NGC 4892|195.01469 |  26.89809 |G|  5925| 0.019764 |SLS |14.2g|  0.000|110|0|68|26|25|10|0
7571|NGC 4886|195.01856 |  27.98759 |G|  6371| 0.021251 |SLS |14.9g|  0.000|174|3|78|32|31|6|0
7572|WISEA J130005.39+280128.0|195.02250 |  28.02446 |G|  5903| 0.019690 |SLS |16.4g|  0.000|86|0|62|31|28|7|0
7573|IC 4011|195.02666 |  28.00411 |G|  7268| 0.024243 |SLS |15.7g|  0.000|156|2|84|34|34|6|1
7574|IC 4007 NED02|195.02911 |  19.96459 |G| 25566| 0.085280 |SLS |18.01|  0.000|21|0|44|9|8|6|0
7575|WISEA J130007.48+275729.6|195.03119 |  27.95822 |G|  6210| 0.020714 |SLS |18.66|  0.000|33|0|27|13|7|0|0
7576|IC 4012|195.03324 |  28.07873 |G|  7237| 0.024140 |SLS |15.4g|  0.000|163|2|92|34|37|6|0
7577|NGC 4886:[WLQ2016] X0001|195.03388 |  27.97692 |G|  6446| 0.021502 |SLS |12.9g|  0.000|578|12|214|62|56|15|3
7578|WISEA J130008.40+275717.1|195.03499 |  27.95466 |G|  6260| 0.020882 |SLS |18.8g|  0.000|11|0|38|7|2|4|0
7579|NGC 4895A|195.03799 |  28.17039 |G|  6752| 0.022522 |SLS |15.7g|  0.000|135|4|58|36|36|6|1
7580|NGC 4880|195.04396 |  12.48352 |G|  1362| 0.004543 |SLS |13.1g|  0.000|116|4|86|26|19|14|0
7581|WISEA J130011.41+275436.6|195.04756 |  27.91012 |G|  7225| 0.024100 |UUN |19.6g|  0.000|13|0|36|8|3|4|0
7582|IC 4027|195.05675 |  37.14144 |G| 10671| 0.035594 |SLS |16.2g|  0.000|21|0|42|9|9|6|0
7583|IC 4014|195.05785 |  22.49963 |G| 22676| 0.075639 |SLS |16.4g|  0.000|20|0|49|8|5|6|0
7584|IC 4029|195.05894 |  38.75978 |G|  7058| 0.023543 |SLS |16.4g|  0.000|16|0|62|7|6|10|0
7585|IC 4021|195.06144 |  28.04146 |G|  5732| 0.019120 |SLS |15.5g|  0.000|166|3|87|36|36|10|0
7586|IC 4031|195.06453 |  39.14491 |G| 16019| 0.053434 |SLS |16.2g|  0.000|18|0|45|6|5|6|0
7587|IC 4028|195.06735 |  36.25413 |G|  8352| 0.027858 |SLS |15.1g|  0.000|37|0|55|25|16|11|0
7588|NGC 4894|195.06883 |  27.96753 |G|  4638| 0.015470 |SLS |15.7g|  0.000|114|1|68|35|34|7|1
7589|WISEA J130017.02+280350.1|195.07095 |  28.06392 |G|  6137| 0.020471 |SLS |16.1g|  0.000|98|0|71|31|25|7|0
7590|WISEA J130017.63+275915.1|195.07353 |  27.98755 |G|  6004| 0.020026 |SLS |18.70|  0.000|27|0|33|13|5|0|2
7591|NGC 4898A|195.07366 |  27.95526 |G|  6914| 0.023063 |SLS |14.7g|  0.000|110|1|50|23|16|6|0
7592|NGC 4895|195.07467 |  28.20238 |G|  8527| 0.028443 |SLS |14.0g|  0.000|156|3|90|33|32|12|0
7593|NGC 4898|195.07500 |  27.95700 |GPair|  6661| 0.022219 |SUN |14.48|  0.000|43|2|19|5|12|1|2
7594|NGC 4898B|195.07540 |  27.95654 |G|  6371| 0.021251 |SUN |16.00|  0.000|58|1|15|11|7|0|3
7595|2MASX J13001877+2756135|195.07825 |  27.93704 |G|  5281| 0.017616 |SLS |16.66|  0.000|76|1|40|31|26|7|1
7596|WISEA J130018.88+280033.5|195.07871 |  28.00931 |G|  6213| 0.020725 |SLS |17.8g|  0.000|52|0|63|26|18|6|0
7597|IC 4037|195.08088 |  39.00270 |G| 19694| 0.065691 |SLS |16.3g|  0.000|22|0|62|7|6|10|0
7598|IC 4034|195.08164 |  37.04623 |G|  8420| 0.028086 |SLS |16.1g|  0.000|14|0|27|4|5|4|0
7599|NGC 4878|195.08401 |  -6.10393 |G|  3828| 0.012769 |SUN |12.22|  0.000|27|0|37|14|7|6|0
7600|IC 4038|195.09072 |  37.03917 |G|  8481| 0.028291 |SLS |16.0g|  0.000|19|0|44|7|6|6|0
7601|IC 4026|195.09227 |  28.04701 |G|  8175| 0.027269 |SLS |15.3g|  0.000|135|1|88|30|30|7|0
7602|WISEA J130024.81+275535.8|195.10340 |  27.92663 |G|  7953| 0.026528 |SLS |17.5g|  0.000|55|0|50|20|11|4|1
7603|IC 4032|195.10684 |  28.86780 |G|  6769| 0.022579 |SLS |15.0g|  0.000|60|0|74|23|18|12|0
7604|NGC 4877|195.10969 | -15.28344 |G|  4921| 0.016414 |S1L |13.08|  0.000|51|2|44|15|12|6|0
7605|IC 4023|195.11050 |  19.09734 |G| 18786| 0.062662 |SLS |18.11|  0.000|18|0|34|6|5|6|0
7606|IC 4030|195.11652 |  27.95598 |G|  7003| 0.023359 |SLS |16.42|  0.000|99|0|53|37|32|3|0
7607|IC 4025|195.11814 |  19.10503 |G| 24495| 0.081705 |SLS |18.82|  0.000|9|0|21|5|2|0|0
7608|IC 4033|195.11830 |  27.97241 |G|  7715| 0.025734 |SLS |16.21|  0.000|81|0|57|30|26|7|1
7609|NGC 4896|195.12822 |  28.34637 |G|  5955| 0.019864 |SLS |14.5g|  0.000|117|3|74|34|28|12|0
7610|NGC 4885|195.14107 |  -6.85323 |G|  3315| 0.011058 |SLS |14.92|  0.000|24|0|37|11|7|3|0
7611|IC 4043|195.14450 |  37.07193 |G|  4646| 0.015499 |SLS |16.2g|  0.000|25|1|4|11|9|1|0
7612|NGC 4888|195.15114 |  -6.07554 |G|  4006| 0.013363 |SLS |14.1b|  0.000|14|0|38|9|3|3|0
7613|IC 4040|195.15811 |  28.05741 |G|  7728| 0.025778 |SLS |15.36|  0.000|188|5|120|30|30|11|0
7614|IC 4048|195.15897 |  39.83098 |G| 10035| 0.033474 |SLS |16.5g|  0.000|17|0|54|8|7|10|0
7615|NGC 4890|195.16300 |  -4.60433 |G|  3028| 0.010100 |SUN |13.8 |  0.000|22|0|6|5|4|1|3
7616|NGC 4887|195.16355 | -14.66633 |G|  2687| 0.008963 |SUN |14.14|  0.000|39|2|35|13|9|6|0
7617|NGC 4900|195.16357 |   2.50075 |G|   963| 0.003212 |S1L |12.2g|  0.000|325|6|127|39|34|20|1
7618|IC 4039|195.16413 |  21.69169 |G|  6686| 0.022302 |SLS |16.29|  0.000|28|0|49|16|10|6|0
7619|IC 0842|195.16480 |  29.01942 |G|  7270| 0.024250 |SUN |14.5g|  0.000|156|1|125|36|28|15|0
7620|NGC 4906|195.16562 |  27.92378 |G|  7521| 0.025087 |SUN |14.9g|  0.000|160|2|48|32|35|3|1
7621|IC 4041|195.17024 |  27.99660 |G|  7086| 0.023636 |SLS |15.4g|  0.000|140|2|74|31|34|11|0
7622|IC 4049|195.17776 |  36.34558 |G|  8385| 0.027968 |SLS |14.6g|  0.000|38|0|48|15|12|11|0
7623|IC 4042|195.17821 |  27.97139 |G|  6382| 0.021289 |SLS |14.9g|  0.000|147|2|80|30|28|7|0
7624|IC 4042A|195.17851 |  27.96312 |G|  8427| 0.028109 |SLS |15.7g|  0.000|104|0|31|24|27|3|1
7625|NGC 4914|195.17884 |  37.31530 |G|  4583| 0.015287 |SLS |12.49|  0.000|106|2|44|22|12|7|0
7626|IC 4056|195.18456 |  39.75412 |G| 11082| 0.036966 |SLS |15.5g|  0.000|24|3|35|7|5|9|1
7627|IC 4044|195.19747 |  27.92217 |G|  8566| 0.028573 |SLS |16.1g|  0.000|68|0|51|23|22|6|0
7628|IC 4045|195.20272 |  28.09074 |G|  6967| 0.023239 |SLS |14.8g|  0.000|188|2|83|34|38|11|0
7629|NGC 4907|195.20337 |  28.15834 |G|  5806| 0.019367 |SLS |14.1g|  0.000|131|2|80|32|31|11|1
7630|IC 4051|195.21484 |  28.04280 |G|  8765| 0.029238 |SLS |14.6g|  0.000|167|4|116|25|27|10|1
7631|NGC 4897|195.22063 | -13.44985 |G|  2554| 0.008519 |UUN |12.60|  0.000|89|4|42|18|12|6|0
7632|NGC 4911A|195.22552 |  27.78376 |G|  8297| 0.027676 |SLS |15.9g|  0.000|53|0|42|21|19|4|0
7633|NGC 4908|195.22694 |  28.00769 |G|  4983| 0.016621 |SLS |14.1g|  0.000|232|5|82|34|37|12|1
7634|NGC 4911|195.23365 |  27.79085 |G|  7972| 0.026592 |SLS |13.55|  0.000|239|5|153|51|42|16|0
7635|NGC 4899|195.23586 | -13.94417 |G|  2658| 0.008866 |SUN |12.39|  0.000|92|3|42|17|10|6|0
7636|IC 4061 NED01|195.23911 |  39.58312 |G| 21478| 0.071643 |SLS |15.9g|  0.000|10|0|29|5|6|6|0
7637|IC 4047|195.24041 |  19.68698 |G|  8974| 0.029934 |SLS |15.7 |  0.000|28|0|48|16|10|8|0
7638|IC 4061 NED02|195.24207 |  39.58392 |G| 21465| 0.071600 |SST |16.8g|  0.000|5|0|21|2|1|4|0
7639|NGC 4904|195.24435 |  -0.02760 |G|  1180| 0.003936 |UUN |12.6B|  0.000|191|2|104|52|47|15|1
7640|IC 4062|195.24441 |  39.85901 |G| 10849| 0.036188 |SLS |16.2g|  0.000|39|0|51|11|10|10|0
7641|NGC 4902|195.24899 | -14.51352 |G|  2625| 0.008756 |SUN |11.61|  0.000|184|8|57|18|15|7|0
7642|IC 4063|195.27775 |  39.24516 |G| 16256| 0.054224 |SLS |16.6g|  0.000|16|0|42|5|6|6|0
7643|IC 4064|195.27802 |  39.84147 |G| 10648| 0.035518 |SLS |13.9g|  0.000|45|1|66|20|16|15|1
7644|IC 4058|195.28894 |  19.49419 |G| 19020| 0.063444 |SLS |17.27|  0.000|20|0|44|7|5|6|0
7645|IC 4065|195.29579 |  39.74448 |G| 11085| 0.036975 |SLS |15.3g|  0.000|30|0|66|13|11|12|0
7646|NGC 4919|195.32331 |  27.80912 |G|  7312| 0.024390 |SLS |14.6g|  0.000|124|2|90|38|31|12|0
7647|IC 4067|195.33364 |  39.94018 |G| 10914| 0.036404 |SLS |16.2g|  0.000|24|0|66|12|7|10|0
7648|IC 4068|195.33408 |  39.89909 |G| 10469| 0.034922 |SLS |15.8g|  0.000|28|0|66|11|7|12|0
7649|NGC 4903|195.34495 | -30.93504 |G|  4972| 0.016585 |S1L |13.72|  0.000|57|3|55|12|17|18|0
7650|NGC 4922 NED01|195.35215 |  29.30842 |G|  7157| 0.023874 |SLS |15.00|  0.000|92|2|94|20|16|6|0
7651|IC 4069|195.35308 |  36.11269 |G|  7614| 0.025399 |SLS |16.8g|  0.000|17|0|29|7|5|2|0
7652|NGC 4922|195.35361 |  29.31092 |GPair|  7071| 0.023586 |SUN |14.2 |  0.000|173|5|87|30|28|5|0
7653|NGC 4922 NED02|195.35523 |  29.31378 |G|  7050| 0.023516 |SLS |14.9g|  0.000|114|2|129|29|24|12|0
7654|IC 4073|195.35716 |  39.91430 |G| 11026| 0.036779 |SLS |15.2g|  0.000|18|0|42|10|6|8|1
7655|NGC 4921|195.35883 |  27.88600 |G|  5471| 0.018249 |SLS |13.1g|  0.000|237|5|122|58|47|13|0
7656|NGC 4915|195.36764 |  -4.54649 |G|  3033| 0.010117 |SUN |13.50|  0.000|102|8|76|20|10|9|0
7657|NGC 4905|195.37780 | -30.86835 |G|  5291| 0.017649 |SUN |14.24|  0.000|24|1|35|6|9|18|0
7658|NGC 4923|195.38249 |  27.84751 |G|  5473| 0.018257 |SLS |14.4g|  0.000|149|2|96|34|30|12|0
7659|IC 3986|195.38392 | -32.29108 |G|  4606| 0.015364 |SUN |13.33|  0.000|50|2|41|12|12|17|0
7660|IC 0843|195.38993 |  29.13054 |G|  7354| 0.024530 |SLS |14.4g|  0.000|125|0|100|39|33|15|0
7661|IC 4077|195.39188 |  37.38627 |G|  7032| 0.023455 |SLS |16.0g|  0.000|28|0|45|11|10|6|0
7662|IC 4085|195.40934 |  39.70260 |G| 10623| 0.035433 |SLS |15.9g|  0.000|23|0|62|8|6|10|0
7663|IC 4083|195.41209 |  38.14236 |G| 11366| 0.037914 |SLS |16.0g|  0.000|20|0|28|6|8|6|0
7664|IC 4082|195.41300 |  37.34173 |G| 12207| 0.040718 |PUN |16.90|  0.000|4|0|28|5|1|2|0
7665|IC 4086|195.42858 |  36.64845 |G|  6516| 0.021736 |PUN |15.30|  0.000|11|0|48|9|1|10|0
7666|IC 4070|195.43036 |  19.30190 |G| 19260| 0.064246 |SLS |17.49|  0.000|17|0|46|7|5|6|0
7667|IC 4088|195.43076 |  29.04476 |G|  7134| 0.023795 |SLS |14.5g|  0.000|157|2|125|38|38|15|0
7668|IC 4075|195.45233 |  19.96498 |G| 14136| 0.047154 |SLS |18.05|  0.000|16|0|46|6|4|6|0
7669|IC 4076|195.45254 |  23.38911 |G| 14251| 0.047537 |SLS |17.20|  0.000|21|0|37|10|7|6|0
7670|NGC 4918|195.46092 |  -4.50048 |G|  9806| 0.032709 |SUN |15.1 |  0.000|13|0|33|9|4|4|0
7671|NGC 4926|195.47388 |  27.62443 |G|  7862| 0.026226 |SLS |13.8g|  0.000|195|4|110|41|33|10|0
7672|IC 4081|195.48046 |  22.77112 |G| 10080| 0.033623 |SLS |16.67|  0.000|16|0|22|8|6|2|0
7673|IC 4079|195.48661 |  19.24883 |G| 23750| 0.079221 |UUN |18.36|  0.000|5|0|42|3|1|6|0
7674|NGC 4927|195.48999 |  28.00586 |G|  7719| 0.025748 |SLS |14.4g|  0.000|127|0|82|36|31|7|0
7675|IC 4080 NED01|195.49040 |  19.25325 |G| 23889| 0.079685 |SLS |17.78|  0.000|13|0|43|4|2|6|0
7676|IC 4080 NED02|195.49264 |  19.25587 |G| 23721| 0.079125 |UUN |18.3g|  0.000|4|0|33|3|1|4|0
7677|IC 4094|195.49390 |  37.79501 |G| 13164| 0.043912 |PUN |16.21|  0.000|8|0|32|5|1|6|0
7678|IC 4087|195.50172 |  19.99521 |G| 18974| 0.063292 |SLS |18.33|  0.000|18|0|34|6|5|6|0
7679|NGC 4926B|195.50434 |  27.65296 |G|  7089| 0.023646 |SLS |15.86|  0.000|57|0|40|34|25|6|0
7680|NGC 4909|195.50772 | -42.77142 |G|  3362| 0.011216 |S1L |13.61|  0.000|36|1|43|14|15|19|0
7681|MCG -02-33-095|195.51174 | -10.41310 |G|  2776| 0.009260 |S1L |14.66|  0.000|29|1|35|14|6|6|0
7682|IC 4098|195.51608 |  37.98085 |G| 10790| 0.035993 |SLS |15.9g|  0.000|25|0|34|8|8|6|0
7683|IC 4071|195.51693 |  -7.60279 |G|  3356| 0.011194 |SUN |14.70|  0.000|24|0|42|13|7|3|0
7684|NGC 4920|195.51774 | -11.37856 |G|  1336| 0.004456 |SUN |14.15|  0.000|38|1|43|15|7|6|0
7685|NGC 4925|195.53076 |  -7.71072 |G|  3428| 0.011435 |SUN |14.03|  0.000|30|0|31|11|9|3|0
7686|NGC 4926A|195.53298 |  27.64838 |G|  6915| 0.023066 |SLS |14.9g|  0.000|157|5|91|48|33|10|0
7687|NGC 4924|195.55348 | -14.96980 |G|  4856| 0.016198 |SUN |13.87|  0.000|39|0|40|14|11|5|0
7688|IC 4091|195.55400 |  19.89295 |G| 19132| 0.063817 |SLS |18.18|  0.000|17|0|34|6|5|6|0
7689|IC 4096|195.57062 |  24.01088 |G| 22050| 0.073550 |SLS |17.40|  0.000|25|0|49|10|6|6|0
7690|IC 4102|195.57510 |  36.15263 |G|  8003| 0.026695 |SLS |16.9g|  0.000|14|0|28|4|5|6|0
7691|IC 4104|195.57549 |  38.59240 |G| 12310| 0.041061 |SLS |15.8g|  0.000|19|0|30|5|7|6|0
7692|IC 4105|195.57917 |  38.27131 |G| 15327| 0.051125 |SLS |16.3g|  0.000|18|0|42|5|5|6|0
7693|IC 4103|195.57948 |  38.01748 |G| 11056| 0.036880 |SLS |15.6g|  0.000|23|0|44|7|6|7|0
7694|IC 4095|195.58489 |  19.09969 |G| 19311| 0.064415 |SLS |16.58|  0.000|22|0|42|7|5|6|0
7695|IC 4099|195.59677 |  24.02920 |G| 22283| 0.074328 |SLS |17.12|  0.000|16|0|48|14|9|6|0
7696|IC 4108|195.63142 |  38.47849 |G| 11126| 0.037112 |SLS |15.3g|  0.000|27|0|42|8|9|8|0
7697|IC 4106|195.66009 |  28.11452 |G|  7466| 0.024903 |SLS |16.34|  0.000|65|0|57|26|19|8|0
7698|IC 4107|195.67446 |  21.99739 |G|   267| 0.000892 |SLS |17.4g|  0.000|21|0|20|12|5|4|0
7699|NGC 4929|195.68498 |  28.04535 |G|  6224| 0.020761 |SLS |14.6g|  0.000|94|1|65|31|25|10|0
7700|IC 4115|195.70309 |  37.22315 |G| 10669| 0.035588 |SLS |15.6g|  0.000|25|0|44|8|5|7|0
7701|IC 4118|195.71539 |  38.29295 |G| 11171| 0.037263 |SLS |15.2g|  0.000|28|0|42|8|9|8|0
7702|IC 4111|195.73557 |  28.07037 |G|  7760| 0.025885 |SLS |16.04|  0.000|65|0|56|28|19|8|0
7703|IC 4110|195.74286 |  19.22696 |G| 20157| 0.067238 |SLS |17.0g|  0.000|22|0|42|8|5|6|0
7704|NGC 4928|195.75228 |  -8.08490 |G|  1719| 0.005734 |S1L |13.24|  0.000|64|4|43|16|11|5|0
7705|NGC 4931|195.75373 |  28.03247 |G|  5412| 0.018053 |SLS |13.9g|  0.000|124|1|78|30|22|11|1
7706|IC 4113 NED01|195.76378 |  20.47338 |G| 19607| 0.065402 |SLS |17.16|  0.000|8|1|15|5|3|2|0
7707|IC 4123|195.77417 |  38.31451 |G| 13255| 0.044213 |SLS |15.5g|  0.000|27|0|42|8|7|7|0
7708|IC 4119|195.81322 |  19.23284 |G| 19750| 0.065878 |SLS |18.55|  0.000|17|0|34|7|3|6|0
7709|NGC 4934|195.81774 |  28.03031 |G|  6091| 0.020317 |SLS |14.7g|  0.000|108|1|84|38|30|11|0
7710|IC 4127|195.82247 |  38.04692 |G| 10942| 0.036497 |SLS |15.7g|  0.000|23|0|30|8|9|8|0
7711|IC 0844|195.82603 | -30.52103 |G|  2921| 0.009743 |SUN |13.67|  0.000|38|4|39|12|8|18|1
7712|NGC 4935|195.83849 |  14.37755 |G|  6394| 0.021329 |SLS |13.9g|  0.000|69|1|74|24|20|15|0
7713|IC 4122|195.85182 |  20.19693 |G| 19123| 0.063786 |SLS |15.3 |  0.000|43|0|62|15|12|7|0
7714|IC 4131|195.85659 |  38.95128 |G| 15995| 0.053352 |SLS |16.3g|  0.000|19|1|50|5|5|10|1
7715|IC 4124|195.88156 |  22.84683 |G| 20172| 0.067288 |SLS |16.5g|  0.000|22|0|45|8|6|6|0
7716|IC 4125|195.89568 |  18.80340 |G| 19569| 0.065275 |SLS |16.26|  0.000|14|0|46|10|6|6|0
7717|IC 4128|195.92185 |  20.21670 |G| 18749| 0.062540 |SLS |16.38|  0.000|26|0|52|10|6|6|0
7718|IC 4129|195.93317 |  18.87723 |G| 19045| 0.063528 |SLS |18.21|  0.000|16|0|34|6|5|6|0
7719|NGC 4943|195.93729 |  28.08421 |G|  5640| 0.018813 |SLS |15.1g|  0.000|68|0|59|24|18|6|0
7720|IC 4130|195.94415 |  19.27153 |G| 19040| 0.063510 |SLS |14.3V|  0.000|78|0|69|30|23|8|0
7721|IC 4145|195.95735 |  38.28644 |G| 15011| 0.050070 |SLS |16.4g|  0.000|18|0|31|9|7|2|0
7722|NGC 4944|195.95812 |  28.18569 |G|  6965| 0.023233 |SLS |13.5g|  0.000|143|3|71|29|24|10|0
7723|IC 4144|195.95846 |  36.94349 |G| 10617| 0.035414 |SLS |15.7g|  0.000|29|0|39|10|7|9|0
7724|IC 4133|195.96164 |  27.98837 |G|  6363| 0.021225 |SLS |15.37|  0.000|93|0|54|27|24|7|0
7725|NGC 4933A|195.97745 | -11.50559 |G|  3158| 0.010534 |SUN |15.20|  0.000|36|3|33|12|6|3|0
7726|NGC 4933B|195.98663 | -11.49783 |G|  3238| 0.010801 |SUN |12.71|  0.000|43|3|32|16|8|6|1
7727|IC 4152|195.99359 |  38.19862 |G| 15480| 0.051637 |SLS |15.6g|  0.000|24|0|42|7|6|6|0
7728|IC 4151 NED02|195.99709 |  36.85851 |G| 21727| 0.072475 |SLS |17.7g|  0.000|18|0|21|8|10|2|1
7729|IC 4137|195.99751 |  22.74048 |G| 18328| 0.061136 |SLS |16.71|  0.000|21|0|56|10|5|6|0
7730|NGC 4933C|196.00471 | -11.49065 |G|  3188| 0.010634 |SUN |15.29|  0.000|15|1|9|9|2|1|0
7731|IC 4138|196.00877 |  20.66546 |G| 19356| 0.064565 |SLS |16.4g|  0.000|18|0|36|7|5|6|0
7732|IC 4139|196.01731 |  19.29498 |G| 18889| 0.063006 |SLS |16.82|  0.000|25|0|42|9|5|6|0
7733|NGC 4930|196.02173 | -41.41148 |G|  2589| 0.008636 |UUN |12.0 |  0.000|78|3|63|13|13|19|0
7734|IC 4140|196.02518 |  20.09635 |G| 18784| 0.062658 |SLS |17.3g|  0.000|16|0|42|6|5|6|0
7735|IC 4141|196.03221 |  19.21069 |G| 19888| 0.066340 |SLS |17.5 |  0.000|45|0|67|21|16|8|0
7736|IC 4147|196.03935 |  20.25094 |G|  6820| 0.022749 |SLS |18.38|  0.000|16|0|32|10|6|4|0
7737|IC 4146|196.04330 |  19.27805 |G| 17668| 0.058933 |SLS |16.3g|  0.000|25|0|46|10|6|6|0
7738|IC 4148|196.04450 |  19.25919 |G| 18660| 0.062244 |SLS |17.1g|  0.000|24|0|30|8|6|6|0
7739|IC 4149|196.04526 |  22.28961 |G|  7141| 0.023820 |SLS |15.46|  0.000|51|1|51|19|12|7|0
7740|NGC 4941|196.05457 |  -5.55160 |G|  1132| 0.003776 |SLS |12.43|  0.000|393|12|198|71|64|9|0
7741|NGC 4939|196.05964 | -10.33956 |G|  3166| 0.010561 |SLS |11.9 |  0.000|328|11|116|50|60|12|1
7742|NGC 4936|196.07039 | -30.52626 |G|  3117| 0.010397 |SUN |11.77|  0.000|122|7|48|19|21|18|1
7743|NGC 4949|196.07470 |  29.02957 |G|  6825| 0.022766 |SLS |15.4g|  0.000|47|0|57|22|18|8|1
7744|NGC 4942|196.07975 |  -7.64952 |G|  1741| 0.005807 |UUN |13.79|  0.000|52|1|47|22|9|6|0
7745|NGC 4947A|196.08675 | -35.22778 |G|  2582| 0.008613 |SUN |15.01|  0.000|37|2|43|8|7|18|0
7746|IC 4158|196.10278 |  36.47996 |G|  6964| 0.023231 |SLS |15.4g|  0.000|32|0|34|17|17|2|0
7747|IC 4154|196.11773 |  23.57510 |G|  9427| 0.031444 |SLS |15.42|  0.000|31|0|47|19|14|6|0
7748|IC 4161|196.14712 |  39.97736 |G|  9743| 0.032499 |SLS |15.9g|  0.000|21|0|66|8|6|10|0
7749|IC 4159|196.19159 |  22.24216 |G| 20607| 0.068737 |SLS |16.9g|  0.000|18|0|38|8|5|6|0
7750|IC 4160|196.20024 |  22.89245 |G| 18426| 0.061463 |SLS |17.26|  0.000|27|0|62|14|7|6|0
7751|NGC 4948|196.23360 |  -7.94804 |G|  1123| 0.003746 |S1L |13.97|  0.000|68|3|39|17|12|5|0
7752|IC 4165|196.23737 |  39.92495 |G|  8228| 0.027444 |SLS |15.2g|  0.000|40|0|98|29|14|12|0
7753|IC 0845|196.23929 |  12.07904 |G| 10735| 0.035807 |SLS |14.9g|  0.000|29|0|67|15|14|10|0
7754|NGC 4952|196.24326 |  29.12226 |G|  5920| 0.019747 |SLS |13.6g|  0.000|138|3|68|36|29|10|0
7755|NGC 4940|196.25100 | -47.23676 |G|  5086| 0.016965 |SUN |13.1 |  0.000|34|1|57|11|7|15|0
7756|NGC 4956|196.25396 |  35.17807 |G|  4750| 0.015844 |SUN |13.26|  0.000|82|0|59|20|15|10|0
7757|IC 4162|196.26249 |  20.55461 |G| 19375| 0.064628 |SLS |16.7g|  0.000|19|0|48|8|5|6|0
7758|NGC 4948A|196.27411 |  -8.16119 |G|  1541| 0.005140 |S1L |14.47|  0.000|46|4|35|12|5|7|0
7759|NGC 4951|196.28217 |  -6.49384 |G|  1177| 0.003926 |S1L |12.57|  0.000|106|4|52|22|17|6|0
7760|IC 4163|196.28332 |  20.77067 |G| 19198| 0.064038 |SLS |16.62|  0.000|22|0|48|9|5|6|0
7761|IC 4169 NED01|196.29994 |  38.77060 |G| 24456| 0.081577 |SLS |18.7g|  0.000|12|0|38|4|5|8|0
