

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
116|NGC 0067|  4.55107 |  30.05545 |G|  6216| 0.020734 |UUN |16   |  0.000|12|1|31|9|4|2|0
117|NGC 0068|  4.57697 |  30.07167 |G|  5735| 0.019130 |SUN |14.5 |  0.000|67|5|57|15|12|6|1
118|NGC 0069|  4.58540 |  30.03996 |G|  6681| 0.022285 |SUN |15.8 |  0.000|37|3|37|13|8|5|0
119|NGC 0070|  4.59403 |  30.07956 |G|  7166| 0.023903 |S1L |14.5 |  0.000|85|4|62|19|15|8|1
120|NGC 0071|  4.59811 |  30.06330 |G|  6605| 0.022033 |SLS |14.8 |  0.000|72|5|51|18|12|7|0
121|NGC 0072|  4.61814 |  30.04069 |G|  7259| 0.024213 |SUN |15.0 |  0.000|59|3|62|19|12|8|0
122|NGC 0072A|  4.64291 |  30.03651 |G|  6715| 0.022399 |SUN |15.7 |  0.000|39|3|33|13|9|5|0
123|NGC 0073|  4.66241 | -15.32239 |G|  7762| 0.025891 |SUN |14.17|  0.000|29|0|33|13|11|6|0
124|NGC 0074|  4.70587 |  30.06166 |G|  7089| 0.023646 |UUN |15.62|  0.000|13|0|29|6|4|4|0
125|IC 0007|  4.72156 |  10.59469 |G|  5367| 0.017902 |SUN |14.7 |  0.000|29|1|39|8|7|2|0
126|IC 0006|  4.72925 |  -3.27602 |G|  6186| 0.020634 |SUN |14.57|  0.000|22|0|32|12|8|3|0
127|NGC 0065|  4.74461 | -22.88038 |G|  7293| 0.024327 |SUN |14.67|  0.000|20|2|42|13|4|16|0
128|IC 0008|  4.76127 |  -3.22211 |G|  6002| 0.020020 |S1L |15.08|  0.000|17|0|39|9|8|3|0
