# name, ra, dec, redshift 
WISEA J123005.80+123222.6, 187.52410, 12.53970, 0.004750 
WISEA J123006.27+080203.4, 187.52616, 8.03428, 0.040028 
SDSS J123006.89+080509.4, 187.52871, 8.08596, 0.002962 
WISEA J123007.55+123630.8, 187.53149, 12.60857, 0.004082 
IC 3429, 187.53299, 23.54523, 0.066301 
SDSS J123008.31+080341.3, 187.53465, 8.06149, 0.035711 
SDSS J123009.08+075841.4, 187.53787, 7.97817, 0.029580 
NGC 4482, 187.54303, 10.77948, 0.006089 
SDSS J123012.03+080258.5, 187.55016, 8.04959, 0.005164 
SDSS J123014.97+132700.2, 187.56240, 13.45000, 0.007345 
WISEA J123015.48+080215.8, 187.56469, 8.03756, 0.003222 
WISEA J123016.26+124632.0, 187.56780, 12.77560, 0.003112 
IC 3430, 187.57038, 9.08530, 0.006721 
NGC 4478, 187.57258, 12.32866, 0.004500 
SDSS J123018.04+121923.1, 187.57519, 12.32311, 0.004715 
NGC 4479, 187.57657, 13.57765, 0.002827 
WISEA J123019.60+120926.9, 187.58180, 12.15680, 0.002872 
SDSS J123024.14+120713.8, 187.60060, 12.12050, 0.005020 
IC 3431, 187.60079, 11.61454, 0.058688 
WISEA J123025.69+122620.8, 187.60729, 12.43919, 0.004563 
NGC 4480, 187.61167, 4.24653, 0.008104 
WISEA J123026.90+122331.3, 187.61206, 12.39197, 0.004693 
IC 3434, 187.61360, 18.80976, 0.048289 
IC 3432, 187.61604, 14.16015, 0.020191 
IC 3436, 187.62478, 19.67306, 0.002885 
WISEA J123030.79+121842.6, 187.62859, 12.31157, 0.007689 
WISEA J123031.57+122601.4, 187.63140, 12.43410, 0.002862 
NGC 4486B, 187.63321, 12.49017, 0.005187 
WISEA J123032.30+122845.1, 187.63461, 12.47926, 0.001821 
SDSS J123034.12+122246.4, 187.64217, 12.37957, 0.003669 
SDSS J123034.72+122734.1, 187.64470, 12.45948, 0.004320 
SDSS J123038.22+122750.0, 187.65930, 12.46390, 0.004326 
SDSS J123039.15+122132.4, 187.66316, 12.35901, 0.003623 
SDSS J123039.69+122904.5, 187.66540, 12.48460, 0.004003 
IC 3435, 187.66609, 15.12969, -0.000123 
SDSS J123040.11+122625.4, 187.66720, 12.44040, 0.004333 
NGC 4483, 187.66936, 9.01567, 0.002947 
WISEA J123040.77+121658.9, 187.67010, 12.28300, 0.003773 
SDSS J123040.98+122520.4, 187.67080, 12.42230, 0.004837 
SDSS J123041.33+122611.3, 187.67220, 12.43650, 0.004550 
SDSS J123041.80+122614.8, 187.67420, 12.43750, 0.004253 
UGC 07652 NED01, 187.67791, 12.35974, 0.087309 
SDSS J123044.52+121202.6, 187.68550, 12.20080, 0.004733 
SDSS J123044.71+122605.4, 187.68640, 12.43490, 0.004803 
WISEA J123045.39+122033.2, 187.68891, 12.34263, 0.006748 
IC 3437, 187.69128, 11.34319, 0.005800 
SDSS J123046.42+121722.9, 187.69345, 12.28971, 0.004940 
SDSS J123046.50+122017.8, 187.69376, 12.33828, 0.003349 
VCC 1311, 187.69716, 7.60552, 0.005030 
WISEA J123047.39+123302.2, 187.69750, 12.55047, 0.004473 
WISEA J123048.19+123510.8, 187.70081, 12.58635, 0.003039 
SDSS J123048.30+121952.1, 187.70129, 12.33115, 0.009263 
MESSIER 087, 187.70593, 12.39112, 0.004283 
LEDA 139922, 187.70800, 12.46110, 0.023349 
SDSS J123050.46+122608.7, 187.71030, 12.43580, 0.004009 
NGVS J123051.07+122611.9, 187.71280, 12.43670, 0.003793 
NGC 4488, 187.71409, 8.36003, 0.003269 
NGC 4489, 187.71770, 16.75882, 0.003135 
SDSS J123052.48+122111.1, 187.71870, 12.35310, 0.007715 
SDSS J123053.09+123410.0, 187.72120, 12.56950, 0.004940 
SDSS J123053.87+122503.1, 187.72450, 12.41750, 0.006471 
SDSS J123054.94+122511.4, 187.72895, 12.41986, 0.003232 
SDSS J123055.60+122507.5, 187.73160, 12.41880, 0.004880 
SDSS J123056.04+122440.3, 187.73350, 12.41120, 0.004853 
SDSS J123056.33+122117.3, 187.73470, 12.35480, 0.004560 
SDSS J123056.51+121940.9, 187.73550, 12.32800, 0.003306 
WISEA J123056.81+121707.6, 187.73645, 12.28548, 0.006064 
NGC 4491, 187.73805, 11.48344, 0.001693 
SDSS J123057.27+122122.6, 187.73870, 12.35630, 0.003819 
NGC 4486A, 187.74056, 12.27042, 0.002528 
SDSS J123057.76+122101.9, 187.74070, 12.35050, 0.004707 
SDSS J123057.83+122156.6, 187.74100, 12.36570, 0.004106 
2MASS J12305784+0804351, 187.74103, 8.07642, 0.016270 
SDSS J123058.42+122344.7, 187.74340, 12.39580, 0.003633 
SDSS J123058.85+122300.8, 187.74520, 12.38360, 0.004770 
IC 3439, 187.74788, 25.56196, 0.022189 
NGC 4492, 187.74881, 8.07797, 0.005804 
SDSS J123059.85+122309.1, 187.74940, 12.38580, 0.004873 
NGC 4472 DW04, 187.75462, 7.72325, 0.004174 
SDSS J123102.13+122749.7, 187.75890, 12.46381, 0.004053 
SDSS J123102.59+123414.1, 187.76079, 12.57059, 0.003969 
SDSS J123103.05+121729.0, 187.76270, 12.29130, 0.007742 
SDSS J123103.60+122532.9, 187.76500, 12.42582, 0.006211 
WISEA J123103.65+123213.1, 187.76535, 12.53694, 0.002312 
CGCG 014-054, 187.76583, 1.67611, 0.003686 
IC 3441, 187.76843, 28.85271, 0.065469 
WISEA J123104.36+122321.9, 187.76845, 12.38924, 0.003859 
NGC 4487, 187.76847, -8.05392, 0.003456 
WISEA J123104.47+115635.8, 187.76866, 11.94329, 0.003056 
IC 3440, 187.77146, 12.02983, 0.025964 
SDSS J123105.17+122402.4, 187.77150, 12.40070, 0.003936 
SDSS J123105.51+122325.5, 187.77300, 12.39050, 0.003372 
SDSS J123105.64+122343.0, 187.77360, 12.39530, 0.005941 
NGC 4493, 187.78487, 0.61370, 0.023083 
SDSS J123108.72+120730.5, 187.78630, 12.12520, 0.004597 
SDSS J123109.27+122241.3, 187.78860, 12.37820, 0.002498 
SDSS J123109.85+121532.0, 187.79100, 12.25890, 0.002368 
SDSS J123110.14+121627.8, 187.79227, 12.27440, 0.006064 
SDSS J123111.60+122030.0, 187.79830, 12.34170, 0.006141 
WISEA J123111.90+124101.3, 187.79962, 12.68371, 0.004301 
SDSS J123113.52+122037.1, 187.80640, 12.34370, 0.003469 
SDSS J123113.80+121352.4, 187.80752, 12.23123, 0.002312 
SDSS J123114.65+255355.6, 187.81102, 25.89885, 0.004713 
IC 3443, 187.81560, 12.33174, 0.003399 
SDSS J123116.32+121845.3, 187.81801, 12.31261, 0.005971 
SDSS J123116.49+254404.1, 187.81871, 25.73449, 0.004453 
SDSS J123116.51+254414.2, 187.81883, 25.73730, 0.004847 
SDSS J123116.94+254554.5, 187.82062, 25.76516, 0.004133 
SDSS J123117.76+254524.9, 187.82404, 25.75694, 0.004536 
IC 3447, 187.82466, 10.68020, 0.092338 
IC 3445, 187.83105, 12.73810, -0.001269 
SDSS J123119.52+255122.9, 187.83131, 25.85641, 0.003983 
WISEA J123119.92+121158.7, 187.83330, 12.19950, 0.004280 
IC 3442, 187.83417, 14.11542, 0.004153 
SDSS J123120.61+120423.5, 187.83580, 12.07320, 0.002518 
NGC 4495, 187.84551, 29.13652, 0.015243 
IC 3449, 187.84568, 25.91391, 0.023156 
IC 3446, 187.84575, 11.49259, 0.004176 
IC 3448, 187.84663, 17.20641, 0.004510 
SDSS J123123.20+254123.8, 187.84668, 25.68997, 0.004717 
IC 3451, 187.85028, 28.85520, 0.062021 
NGC 4494, 187.85043, 25.77525, 0.004476 
SSTSL2 J123124.65+254815.7, 187.85271, 25.80442, 0.004473 
IC 3450, 187.85341, 26.79614, 0.023083 
SDSS J123125.46+124231.6, 187.85610, 12.70880, 0.005380 
SDSS J123125.50+254619.3, 187.85628, 25.77204, 0.004466 
[FSR2011] J123126.78+254518.12, 187.86158, 25.75503, 0.004440 
SSTSL2 J123127.21+254601.0, 187.86331, 25.76699, 0.003843 
SDSS J123127.41+122108.9, 187.86421, 12.35249, 0.004843 
WISEA J123128.34+122503.8, 187.86812, 12.41773, 0.007008 
SDSS J123129.91+122842.6, 187.87470, 12.47850, 0.004123 
SDSS J123130.16+254623.9, 187.87567, 25.77332, 0.004887 
SDSS J123132.40+121428.4, 187.88500, 12.24120, 0.005454 
[FSR2011] J123132.47+254842.98, 187.88529, 25.81194, 0.004403 
NGC 4497, 187.88564, 11.62481, 0.003476 
SDSS J123133.08+254658.0, 187.88787, 25.78278, 0.004800 
SDSS J123134.04+254857.3, 187.89186, 25.81593, 0.004650 
SDSS J123135.80+121634.5, 187.89920, 12.27620, 0.004563 
SDSS J123137.54+122433.1, 187.90642, 12.40920, 0.002715 
IC 3453, 187.90727, 14.85979, 0.008545 
IC 3454, 187.91094, 27.49572, 0.023379 
NGC 4496, 187.91333, 3.93944, 0.005774 
NGC 4496A, 187.91377, 3.93953, 0.005771 
NGC 4498, 187.91463, 16.85282, 0.005027 
NGC 4496B, 187.92040, 3.92641, 0.015109 
SDSS J123141.63+122114.6, 187.92350, 12.35410, 0.005994 
SDSS J123142.64+121516.4, 187.92770, 12.25460, 0.005737 
IC 3458, 187.93336, 28.14733, 0.063443 
IC 3455, 187.93561, 25.78608, 0.079898 
SDSS J123145.95+122721.1, 187.94150, 12.45590, 0.004403 
SDSS J123146.20+122543.5, 187.94250, 12.42880, 0.005637 
SDSS J123149.35+122448.2, 187.95560, 12.41330, 0.004266 
IC 3460, 187.95995, 27.38689, 0.014974 
IC 3457, 187.96393, 12.65699, 0.004326 
VCCA 039, 187.97038, 12.26642, 0.003286 
SDSS J123154.17+121948.6, 187.97580, 12.33030, 0.003266 
IC 0797, 187.97817, 15.12419, 0.006995 
IC 3459, 187.98298, 12.17404, 0.001286 
MESSIER 088, 187.99654, 14.42027, 0.007619 
IC 3461, 188.01141, 11.89009, 0.003360 
NGC 4502, 188.01353, 16.68772, 0.005424 
WISEA J123204.33+122030.3, 188.01817, 12.34186, 0.005494 
NGC 4499, 188.02047, -39.98239, 0.012439 
IC 3466, 188.02368, 11.81791, 0.003032 
NGC 4503, 188.02600, 11.17647, 0.004450 
IC 3462, 188.04003, 15.30096, 0.005260 
NGC 4506, 188.04392, 13.41950, 0.001872 
IC 3469, 188.04561, 25.80282, 0.062479 
IC 3465, 188.05109, 12.06148, 0.003284 
IC 3468, 188.05942, 10.25149, 0.004336 
WISEA J123214.64+120304.9, 188.06103, 12.05136, 0.004420 
NGC 4504, 188.07254, -7.56358, 0.003329 
IC 3472, 188.07842, 24.72827, 0.023076 
IC 3473, 188.07948, 18.24474, 0.002776 
IC 3471, 188.09515, 16.01877, -0.000421 
IC 3470, 188.09752, 11.26295, 0.004968 
IC 3467, 188.10237, 11.78761, 0.025031 
NGC 4517A, 188.11721, 0.38962, 0.005100 
UGC 07688, 188.13514, 8.04516, 0.001414 
IC 0798, 188.13921, 15.41542, 0.001430 
SDSS J123234.14+122722.8, 188.14230, 12.45640, 0.004360 
SDSS J123236.49+122057.2, 188.15200, 12.34920, 0.004500 
IC 3474, 188.15250, 2.66078, 0.005761 
SDSS J123238.02+122034.8, 188.15840, 12.34300, 0.001117 
SDSS J123238.53+122815.6, 188.16060, 12.47100, 0.004200 
IC 3479, 188.17054, 25.40608, 0.063050 
IC 3475, 188.17081, 12.77100, 0.008616 
IC 3476, 188.17470, 14.05021, -0.000530 
NGC 4514, 188.17905, 29.71243, 0.026955 
IC 3478, 188.18415, 14.19619, 0.006271 
NGC 4517, 188.18980, 0.11531, 0.003756 
NGC 4529, 188.21525, 20.18350, 0.008446 
IC 3481, 188.21775, 11.40437, 0.024310 
SDSS J123255.55+094412.6, 188.23146, 9.73686, 0.005814 
IC 3481A, 188.23650, 11.39008, 0.024354 
IC 3482, 188.25415, 27.83038, 0.062527 
NGC 4515, 188.27073, 16.26554, 0.003184 
IC 3484, 188.27208, 17.40300, 0.026735 
NGC 4509, 188.27770, 32.09173, 0.003125 
SDSS J123307.35+095254.2, 188.28067, 9.88175, 0.003716 
NGC 4516, 188.28140, 14.57497, 0.003143 
UGCA 285, 188.28310, -0.53305, 0.010938 
IC 3488, 188.28518, 26.34941, 0.024177 
IC 3491, 188.28723, 27.09450, 0.033364 
SDSS J123309.18+122614.2, 188.28830, 12.43730, 0.005510 
IC 3483, 188.29191, 11.34737, 0.000007 
NGC 4518B, 188.29363, 7.83421, 0.020288 
NGC 4518, 188.29899, 7.85165, 0.021817 
IC 3487, 188.30604, 9.39719, 0.003582 
IC 3494, 188.30703, 27.58424, 0.024337 
IC 3489, 188.30707, 12.24701, 0.026135 
IC 3490, 188.30804, 10.92859, 0.000894 
IC 3486, 188.30834, 12.85775, 0.006629 
IC 3492, 188.33251, 12.85346, -0.001804 
NGC 4519A, 188.35273, 8.69082, 0.004783 
IC 3498, 188.37069, 26.73805, 0.021692 
WISEA J123329.49+121017.5, 188.37279, 12.17152, 0.004103 
NGC 4519, 188.37601, 8.65482, 0.004063 
SDSS J123339.64+074405.4, 188.41520, 7.73484, 0.002402 
NGC 4522, 188.41532, 9.17479, 0.007769 
IC 3502, 188.42640, 26.61742, 0.023810 
IC 3499, 188.43745, 10.99569, 0.004093 
SDSS J123346.95+074528.4, 188.44564, 7.75791, 0.001841 
SDSS J123347.74+074657.0, 188.44894, 7.78251, 0.001578 
NGC 4523, 188.45000, 15.16806, 0.000864 
IC 3500, 188.45695, 13.96278, 0.020414 
NGC 4520, 188.45794, -7.37544, 0.025444 
NGC 4525, 188.46327, 30.27755, 0.003923 
SDSS J123351.36+074118.7, 188.46401, 7.68854, 0.001838 
IC 3501, 188.46509, 13.32244, 0.005388 
SDSS J123352.21+073750.1, 188.46756, 7.63061, 0.000911 
SDSS J123353.59+074136.0, 188.47330, 7.69335, 0.002182 
NGVS J123353.66+074224.4, 188.47357, 7.70676, 0.002558 
NGC 4524, 188.47665, -12.02764, 0.016155 
SDSS J123356.27+073955.0, 188.48449, 7.66530, 0.001554 
IC 0800, 188.48604, 15.35481, 0.007805 
GALEXASC J123357.74+074130.4, 188.49059, 7.69180, 0.002438 
GALEXASC J123358.69+002312.9, 188.49412, 0.38675, 0.005200 
NGVS J123359.09+074244.6, 188.49632, 7.71236, 0.002899 
NGC 4526, 188.51262, 7.69914, 0.002058 
IC 3507, 188.51853, 25.36287, 0.079736 
NGC 4534, 188.52257, 35.51833, 0.002675 
NGC 4528, 188.52528, 11.32125, 0.004597 
IC 3506, 188.52790, 12.74146, 0.005090 
IC 3508, 188.52893, 26.67080, 0.026100 
NGC 4527, 188.53528, 2.65400, 0.005791 
IC 3505, 188.54301, 15.96830, 0.046090 
IC 3509, 188.54808, 12.04894, 0.006915 
NGVS J123413.38+074107.0, 188.55571, 7.68532, 0.002272 
NGC 4535A, 188.55809, 8.27356, 0.024514 
IC 3510, 188.56163, 11.07153, 0.004634 
NGC 4531, 188.56608, 13.07549, 0.000301 
IC 3515, 188.56701, 27.86227, 0.023126 
IC 3516, 188.57152, 27.45228, 0.022866 
SDSS J123418.29+081423.3, 188.57624, 8.23982, 0.006145 
NGC 4532, 188.58037, 6.46757, 0.006708 
NGC 4535, 188.58458, 8.19792, 0.006551 
NGC 4533, 188.59176, 2.32531, 0.005871 
NGC 4536, 188.61278, 2.18824, 0.006031 
IC 3517, 188.62791, 9.15500, 0.001464 
IC 3518, 188.63035, 9.62330, 0.004803 
IC 3520, 188.63266, 13.50376, 0.002677 
NGC 4539, 188.64475, 18.20268, 0.004660 
IC 3519, 188.65976, 15.60276, 0.001204 
IC 3523, 188.66418, 14.01677, 0.073974 
IC 3521, 188.66463, 7.16020, 0.001979 
NGC 4538, 188.67036, 3.32356, 0.017012 
IC 3522, 188.68983, 15.22059, 0.002228 
IC 3525, 188.69353, 10.17679, 0.026895 
IC 3530, 188.70570, 17.81431, 0.003997 
NGC 4540, 188.71206, 15.55179, 0.004306 
IC 3534, 188.71730, 14.97818, 0.046201 
IC 3528, 188.73296, 15.56564, 0.046120 
IC 3531, 188.73553, 26.62658, 0.022872 
IC 3533, 188.75527, 25.77973, 0.029487 
NGC 4541, 188.79447, -0.22113, 0.022966 
IC 3536, 188.80204, 26.53341, 0.021065 
SDSS J123520.20-001042.4, 188.83421, -0.17847, 0.023499 
NGC 4543, 188.83432, 6.11508, 0.007919 
MESSIER 091, 188.86023, 14.49637, 0.001621 
IC 3540, 188.86360, 12.75025, 0.002463 
2MASS J12352872-0347214, 188.86968, -3.78928, 0.004087 
NGC 4546, 188.87291, -3.79313, 0.003526 
NGC 4550, 188.87745, 12.22084, 0.001531 
NGC 4562, 188.89405, 25.84959, 0.004510 
NGC 4544, 188.90235, 3.03476, 0.003843 
NGC 4507, 188.90265, -39.90935, 0.011801 
NGC 4551, 188.90824, 12.26395, 0.003923 
UGC 07755, 188.91121, -0.20585, 0.022796 
MESSIER 089, 188.91586, 12.55634, 0.001134 
NGC 4552 GROUP, 188.92000, 12.56000, 0.001134 
NGC 4555, 188.92163, 26.52309, 0.022205 
IC 3542, 188.92169, 11.66717, 0.053978 
NGC 4565C, 188.92239, 26.28586, 0.020994 
NGC 4565B, 188.92365, 26.22221, 0.021361 
CGCG 014-073 NED01, 188.92639, -0.21480, 0.022909 
CGCG 014-073 NED02, 188.93183, -0.22375, 0.023133 
VPC 1016, 188.93700, 12.60105, 0.084804 
NGC 4556, 188.94106, 26.90890, 0.024764 
SDSS J123551.86+275556.9, 188.96609, 27.93251, 0.002677 
NGC 4558, 188.96939, 26.99212, 0.026034 
IC 3548, 188.98593, 10.93631, 0.000317 
NGC 4559, 188.99012, 27.95996, 0.002715 
IC 3556, 188.99356, 26.96604, 0.024617 
WISEA J123600.79+275621.0, 189.00332, 27.93919, 0.002340 
IC 3558, 189.01165, 11.84988, 0.093719 
IC 3559, 189.01402, 26.98727, 0.031351 
IC 3560, 189.01630, 27.07823, 0.024070 
IC 3561, 189.01997, 26.89960, 0.026109 
NGC 4553, 189.03161, -39.43867, 0.010491 
IC 3557, 189.03404, 16.64086, 0.078400 
IC 3557 NED01, 189.03410, 16.64130, 0.078900 
NGC 4561, 189.03417, 19.32291, 0.004700 
IC 3562, 189.04399, 9.92259, 0.006856 
IC 3565, 189.05101, 26.75606, 0.024570 
NGC 4563, 189.05358, 26.94142, 0.024584 
IC 3571, 189.08330, 26.08377, 0.004203 
NGC 4565, 189.08655, 25.98769, 0.004276 
IC 3567, 189.09475, 13.60289, 0.030527 
NGVS J123624.21+112633.1, 189.10098, 11.44257, 0.003983 
SDSS J123626.16+112353.7, 189.10901, 11.39828, 0.003693 
SDSS J123626.89+255738.3, 189.11207, 25.96069, 0.003631 
NGC 4564, 189.11246, 11.43924, 0.003809 
IC 3573, 189.11327, 11.75936, 0.065846 
IC 3574, 189.11598, 12.40517, 0.044146 
IC 3580, 189.12180, 18.30048, 0.002978 
WISEA J123630.11+112522.3, 189.12559, 11.42270, 0.000173 
IC 3575, 189.13485, 13.74835, 0.002907 
NGC 4567, 189.13634, 11.25806, 0.007495 
NGC 4568, 189.14293, 11.23903, 0.007446 
IC 3582, 189.15399, 26.23473, 0.022792 
IC 3576, 189.15699, 6.62089, 0.003586 
IC 3581, 189.15851, 24.42874, 0.023086 
IC 3578, 189.16413, 11.10192, 0.002205 
IC 3585, 189.16626, 26.82994, 0.024350 
IC 3583, 189.18121, 13.25933, 0.003739 
SDSS J123645.24+112705.4, 189.18851, 11.45152, -0.000237 
SDSS J123647.41+112502.5, 189.19757, 11.41737, 0.000664 
IC 3587, 189.20142, 27.54862, 0.024484 
MESSIER 090, 189.20753, 13.16294, -0.000784 
SDSS J123650.37+113157.3, 189.20990, 11.53259, 0.000394 
IC 3590, 189.21128, 27.27803, 0.022032 
SDSS J123653.05+113329.8, 189.22106, 11.55829, 0.000087 
NGC 4570, 189.22239, 7.24657, 0.005961 
NGC 4559A, 189.22268, 27.86199, 0.024931 
NGC 4559B, 189.22483, 27.74903, 0.025774 
IC 3586, 189.22856, 12.52015, 0.005726 
NGC 4571, 189.23498, 14.21740, 0.001107 
IC 3591, 189.26218, 6.92625, 0.005444 
IC 3595, 189.27669, 23.78679, 0.056722 
WISEA J123718.77+001247.8, 189.32817, 0.21342, 0.002879 
IC 3598, 189.33758, 28.20798, 0.025564 
IC 3597, 189.35277, 23.86419, 0.022939 
NGC 4578, 189.37732, 9.55507, 0.007645 
NGC 4576, 189.38982, 4.36768, 0.017852 
WISEA J123739.45+114855.9, 189.41438, 11.81555, 0.004513 
IC 3600, 189.42134, 27.12917, 0.015493 
IC 3599, 189.42164, 26.70769, 0.020758 
MESSIER 058, 189.43134, 11.81819, 0.005060 
NGC 4574, 189.43150, -35.51754, 0.009847 
NGC 4573, 189.43241, -43.62106, 0.009940 
NGC 4580, 189.45141, 5.36858, 0.003453 
NGC 4575, 189.46322, -40.53727, 0.009898 
IC 3601, 189.47355, 15.22473, 0.071643 
NGC 4583, 189.51888, 33.45881, 0.023003 
NGC 4581, 189.52151, 1.47777, 0.006132 
NGC 4585, 189.55511, 28.93714, 0.024367 
IC 3603, 189.56728, 15.56983, 0.046150 
NGC 4584, 189.57455, 13.11003, 0.005723 
IC 3602, 189.57625, 10.07280, 0.072074 
IC 3604, 189.58633, 11.73070, 0.044101 
IC 3605, 189.58737, 19.54144, 0.004553 
NGC 4586, 189.61832, 4.31919, 0.002603 
IC 3607, 189.63388, 10.37660, 0.000646 
IC 3609, 189.64473, 14.35246, 0.030655 
NGC 4587, 189.64773, 2.65746, 0.003005 
IC 3608, 189.65560, 10.47612, 0.024283 
NGC 4588, 189.68924, 6.76814, 0.018703 
IC 3610 NED03, 189.69634, 26.87299, 0.088412 
IC 3614, 189.75449, 26.30285, 0.025961 
IC 3615, 189.75669, 18.20083, 0.026451 
IC 3611, 189.76730, 13.36363, 0.009185 
IC 3612, 189.76964, 14.73131, 0.004172 
IC 3613, 189.76991, 13.75898, 0.045578 
NGC 4577, 189.80189, 6.01235, 0.008111 
IC 3618, 189.82135, 26.67778, 0.022002 
IC 3620, 189.82515, 27.90849, 0.021588 
NGC 4592, 189.82808, -0.53195, 0.003566 
IC 3617, 189.85408, 7.96583, 0.006921 
IC 3623, 189.86511, 27.10234, 0.023520 
IC 3626, 189.88196, 25.67742, 0.046493 
IC 3627, 189.88343, 27.49737, 0.056905 
IC 3622, 189.88542, 15.43205, 0.072768 
IC 3625, 189.88826, 10.96765, 0.074920 
IC 3621, 189.88998, 15.50257, 0.071009 
IC 3624, 189.89363, 11.98222, 0.073906 
IC 0803 NED01, 189.89938, 16.58783, 0.025989 
NGC 4603A, 189.90383, -40.74000, 0.012304 
IC 0803 NED02, 189.90611, 16.58866, 0.026033 
IC 0803, 189.90625, 16.58861, 0.026225 
NGC 4593, 189.91435, -5.34418, 0.008312 
IC 3629, 189.94453, 13.53326, 0.046458 
SSTSL2 J123947.30-113748.5, 189.94679, -11.62998, 0.003302 
IC 3631, 189.95020, 12.97402, 0.009433 
NGC 4595, 189.96638, 15.29765, 0.002105 
NGC 4596, 189.98313, 10.17621, 0.006311 
MESSIER 104, 189.99763, -11.62309, 0.003633 
IC 3632, 189.99972, 26.68235, 0.015955 
SUCD 1, 190.01311, -11.66768, 0.004313 
IC 3633, 190.04694, 9.89611, 0.006580 
IC 3634, 190.04747, 9.84747, 0.001070 
NGC 4598, 190.04973, 8.38374, 0.006538 
NGC 4597, 190.05386, -5.79928, 0.003459 
IC 3635, 190.05584, 12.87492, 0.005205 
IC 3638, 190.06919, 10.51851, 0.021555 
IC 3637, 190.08150, 14.71484, 0.006678 
NGC 4600, 190.09564, 3.11778, 0.002789 
IC 3640, 190.10496, 26.52464, 0.025518 
IC 3641, 190.11200, 26.52159, 0.026374 
NGC 4599, 190.11288, 1.19695, 0.006215 
NGC 4603B, 190.12390, -41.06999, 0.014260 
IC 3644, 190.15068, 26.50467, 0.022009 
NGC 4602, 190.15379, -5.13283, 0.008469 
IC 3646, 190.16064, 26.52617, 0.021698 
IC 3643, 190.17028, 12.40664, 0.041065 
NGC 4603C, 190.17964, -40.76338, 0.010417 
NGC 4604, 190.18774, -5.30288, 0.008866 
NGC 4601, 190.19483, -40.89288, 0.010844 
IC 3649, 190.20721, 21.10479, 0.043257 
IC 3639, 190.22016, -36.75583, 0.010924 
IC 3651, 190.22039, 26.72813, 0.015743 
IC 3647, 190.22133, 10.47536, 0.002115 
NGC 4603, 190.23019, -40.97639, 0.008647 
NGC 4606, 190.23992, 11.91201, 0.005500 
IC 3652, 190.24408, 11.18451, 0.002100 
NGC 4607, 190.30157, 11.88682, 0.007535 
IC 3654, 190.30209, 22.58948, 0.028435 
NGC 4608, 190.30544, 10.15572, 0.006171 
IC 3656, 190.30812, 22.59491, 0.028701 
IC 3655, 190.31030, 20.66618, 0.022075 
IC 3653, 190.31558, 11.38724, 0.001859 
IC 0804, 190.31656, -5.00910, 0.009413 
IC 3657, 190.32932, 21.67253, 0.021526 
IC 3658, 190.33598, 14.70055, 0.000082 
NGC 4611, 190.35597, 13.72950, 0.020404 
2MASX J12412711+3223202, 190.36304, 32.38913, 0.092827 
IC 3659, 190.36512, 22.93080, 0.035671 
NGC 4613, 190.37061, 26.08860, 0.016445 
NGC 4614, 190.38111, 26.04267, 0.015940 
NGC 4612, 190.38649, 7.31485, 0.005921 
IC 3661, 190.39861, 22.49491, 0.023516 
IC 3662, 190.40113, 23.42514, 0.028776 
NGC 4615, 190.40555, 26.07274, 0.015797 
IC 3663, 190.41420, 12.24747, 0.003092 
WISEA J124143.25+323003.7, 190.43024, 32.50104, 0.099775 
NGC 4619, 190.43562, 35.06272, 0.023093 
SDSS J124145.76+323200.5, 190.44071, 32.53350, 0.001676 
IC 3665, 190.44438, 11.48827, 0.003974 
WISEA J124149.34+323734.9, 190.45558, 32.62638, 0.022756 
WISEA J124149.48+113530.0, 190.45619, 11.59167, 0.027769 
IC 3671, 190.46406, 23.51061, 0.028647 
IC 3670, 190.47925, 11.77419, 0.024400 
2MASS J12415568+3232084, 190.48211, 32.53565, 0.001817 
NGC 4620, 190.49739, 12.94287, 0.003753 
NGC 4627, 190.49871, 32.57384, 0.001808 
2MASS J12420131+3232170, 190.50491, 32.53793, 0.001896 
MESSIER 059, 190.50940, 11.64695, 0.001558 
NGC 4631, 190.53218, 32.54169, 0.002035 
NGC 4603D, 190.53406, -40.82081, 0.009146 
IC 0806, 190.53510, -17.34925, 0.034544 
IC 0809, 190.53608, 11.75431, 0.000653 
IC 0810, 190.53789, 12.59688, -0.000326 
NGC 4623, 190.54455, 7.67698, 0.006027 
IC 3677, 190.54942, 20.88493, 0.062771 
IC 0807, 190.55206, -17.40350, 0.036595 
IC 3678, 190.55241, 20.88049, 0.061698 
SDSS J124214.03+023804.1, 190.55850, 2.63464, 0.000324 
IC 3687, 190.56306, 38.50184, 0.001181 
NGC 4616, 190.56866, -40.64207, 0.015297 
SDSS J124219.32+023448.2, 190.58062, 2.58014, 0.000660 
SDSS J124219.92+024620.2, 190.58312, 2.77236, 0.003292 
IC 3683, 190.58592, 20.87133, 0.063480 
SDSS J124220.75+025008.3, 190.58658, 2.83572, 0.001154 
SDSS J124222.13+024329.3, 190.59229, 2.72486, 0.003002 
SDSS J124223.03+024007.1, 190.59613, 2.66878, 0.000223 
SDSS J124223.13+023944.1, 190.59646, 2.66236, 0.003192 
SDSS J124223.13+024051.1, 190.59646, 2.68092, 0.002705 
SDSS J124223.48+024703.6, 190.59792, 2.78442, 0.003472 
SDSS J124223.68+023501.0, 190.59871, 2.58364, -0.000457 
SDSS J124224.38+024527.0, 190.60160, 2.75753, 0.002689 
SDSS J124224.44+025011.6, 190.60192, 2.83669, 0.003489 
SDSS J124224.74+024419.7, 190.60317, 2.73889, -0.000190 
