# name, ra, dec, redshift 
NGC 0218, 11.63344, 36.32571, 0.037426 
WISEA J004646.94-252338.7, 11.69560, -25.39410, 0.032906 
WISEA J004650.69-203904.7, 11.71123, -20.65132, 0.000374 
MRSS 474-059243, 11.75172, -25.45730, 0.070115 
WISEA J004702.22-252425.1, 11.75926, -25.40698, 0.076476 
WISEA J004706.12-251835.3, 11.77550, -25.30981, 0.034134 
WISEA J004706.63-251306.6, 11.77763, -25.21852, 0.021855 
NGC 0331, 11.77857, -2.73121, 0.023813 
NGC 0247, 11.78452, -20.76046, 0.000580 
IC 1583, 11.79298, 23.07380, 0.024243 
GALEXMSC J004711.55-251511.2, 11.79800, -25.25285, 0.034124 
WISEA J004711.66-252437.4, 11.79857, -25.41049, 0.094185 
IC 1585, 11.80960, 23.05354, 0.024497 
SSTSL2 J004715.13-252227.5, 11.81307, -25.37432, 0.001354 
NGC 0250, 11.81679, 7.91006, 0.017542 
WISEA J004716.67-251544.5, 11.81948, -25.26236, 0.069591 
NGC 0259a, 11.82428, -2.54488, 0.011700 
IC 1584, 11.82745, 27.82766, 0.015818 
NGC 0253 X-1, 11.84426, -25.34738, 0.001391 
NGC 0254, 11.86517, -31.42185, 0.005434 
NGC 0253, 11.88804, -25.28808, 0.000807 
NGC 0247B, 11.89511, -20.43001, 0.020387 
NGC 0247D, 11.90295, -20.48752, 0.021291 
ESO 540- G 025, 11.90665, -20.52224, 0.020888 
WISEA J004740.04-205413.0, 11.91684, -20.90363, 0.087113 
WISEA J004746.69-250740.6, 11.94456, -25.12797, 0.076923 
WISEA J004746.73-250249.3, 11.94473, -25.04704, 0.098738 
NGC 0255, 11.94707, -11.46857, 0.005287 
NGC 0251, 11.97522, 19.59689, 0.015197 
IC 1586, 11.98470, 22.37278, 0.019417 
NGC 0252, 12.00621, 27.62388, 0.016471 
NGC 0257, 12.00627, 8.29712, 0.017609 
NGC 0259, 12.01379, -2.77538, 0.013496 
NGC 0258, 12.05331, 27.65720, 0.019740 
NGC 0264, 12.08729, -38.23438, 0.016635 
GALEXASC J004821.23-252041.9, 12.08873, -25.34464, 0.059841 
IC 0052, 12.09906, 4.09186, 0.006541 
WISEA J004824.85-251926.3, 12.10357, -25.32400, 0.095496 
WISEA J004825.73-251521.3, 12.10721, -25.25593, 0.095012 
NGC 0260, 12.14455, 27.69248, 0.017392 
WISEA J004838.79-251706.3, 12.16163, -25.28510, 0.056229 
IC 1587, 12.18045, -23.56167, 0.056663 
NGC 0262, 12.19642, 31.95697, 0.015034 
NGC 0263, 12.20180, -13.10735, 0.029000 
MRK 0557, 12.22180, -2.38204, 0.013072 
NGC 0266, 12.44925, 32.27771, 0.015467 
NGC 0268, 12.53982, -5.19364, 0.018326 
NGC 0270, 12.63544, -8.65167, 0.012585 
IC 0053, 12.66990, 10.60027, 0.039267 
NGC 0271, 12.67446, -1.91030, 0.013636 
NGC 0273, 12.70192, -6.88567, 0.016195 
IC 1588, 12.74047, -23.55790, 0.054758 
NGC 0274, 12.75767, -7.05699, 0.005841 
NGC 0275, 12.76750, -7.06667, 0.005817 
NGC 0277, 12.82179, -8.59682, 0.014283 
IC 0056, 12.87474, -12.84428, 0.020297 
IC 0055, 12.92658, 7.71857, 0.017432 
IC 0056A, 12.96353, -12.76730, 0.041900 
NGC 0276, 13.02571, -22.68117, 0.046826 
NGC 0279, 13.03731, -2.21842, 0.012936 
NGC 0280, 13.12612, 24.35057, 0.033893 
NGC 0282, 13.17564, 30.63902, 0.022259 
NGC 0289, 13.17613, -31.20586, 0.005434 
Small Magellanic Cloud, 13.18667, -72.82861, 0.000486 
NGC 0283, 13.30508, -13.16389, 0.037823 
NGC 0284, 13.35099, -13.15897, 0.038460 
IC 1592, 13.36267, 5.77041, 0.017305 
NGC 0287, 13.36785, 32.48240, 0.018383 
NGC 0285, 13.37446, -13.16075, 0.037976 
NGC 0291, 13.37462, -8.76770, 0.018976 
NGC 0286, 13.37651, -13.11274, 0.036278 
IC 1597, 13.38346, -58.10710, 0.019927 
IC 1594, 13.43857, -47.64738, 0.027746 
IC 1595, 13.44616, -45.18659, 0.024427 
NGC 0293, 13.56661, -7.23535, 0.019143 
6dF J0054163-373457, 13.56818, -37.58210, 0.000640 
IC 1599, 13.63466, -23.49656, 0.033023 
IC 1598, 13.67411, 5.77384, 0.015347 
IC 1596, 13.67856, 21.52256, 0.008936 
WISEA J005443.54-374618.1, 13.68146, -37.77171, 0.090954 
IC 0057, 13.70217, 11.84120, 0.039390 
NGC 0300, 13.72270, -37.68421, 0.000491 
NGC 0303, 13.72793, -16.65465, 0.032489 
NGC 0297, 13.74560, -7.34962, 0.050778 
NGC 0298, 13.75978, -7.33301, 0.005847 
IC 0058, 13.76007, -13.67815, 0.020988 
IC 1600, 13.76560, -23.52670, 0.039114 
NGC 0296, 13.78124, 31.54231, 0.018243 
IC 1601, 13.89513, -24.15342, 0.015067 
IC 1602, 13.96627, -9.98563, 0.054734 
IC 0060, 14.01763, -13.35795, 0.056052 
NGC 0304, 14.02506, 24.12695, 0.016638 
NGC 0312, 14.06643, -52.78269, 0.026612 
NGC 0301, 14.07647, -10.67388, 0.022599 
NGC 0307, 14.13571, -1.77198, 0.013026 
NGC 0323, 14.17360, -52.97594, 0.025948 
NGC 0309, 14.17772, -9.91386, 0.018883 
NGC 0314, 14.21833, -31.96302, 0.018730 
NGC 0319, 14.23990, -43.83872, 0.023159 
NGC 0328, 14.23991, -52.92390, 0.024494 
IC 1603, 14.24869, -45.41274, 0.026378 
IC 0061, 14.27991, 7.50708, 0.037463 
NGC 0322, 14.29174, -43.72708, 0.023770 
NGC 0324, 14.31159, -40.95909, 0.011515 
NGC 0311, 14.38637, 30.28075, 0.016489 
IC 1605, 14.40669, -48.90281, 0.024841 
NGC 0321, 14.41346, -5.08615, 0.016161 
NGC 0325, 14.44954, -5.11209, 0.018303 
NGC 0315, 14.45368, 30.35245, 0.016485 
NGC 0327, 14.48067, -5.13025, 0.018279 
NGC 0329, 14.50672, -5.07122, 0.017569 
NGC 0336, 14.51174, -18.38460, 0.018349 
NGC 0318, 14.52178, 30.42554, 0.017702 
NGC 0326 NED01, 14.59429, 26.86629, 0.048734 
NGC 0326, 14.59474, 26.86566, 0.047400 
NGC 0326 NED02, 14.59520, 26.86458, 0.049441 
NGC 0344, 14.60013, -23.22486, 0.055990 
NGC 0343, 14.60013, -23.22523, 0.055288 
WISEA J005840.61+300256.9, 14.66922, 30.04916, 0.077600 
IC 0062, 14.68312, 11.80807, 0.038643 
NGC 0320, 14.69388, -20.84004, 0.018379 
IC 1607, 14.70367, 0.58734, 0.018130 
NGC 0332, 14.70468, 7.11130, 0.017429 
NGC 0334, 14.70760, -35.11597, 0.030721 
NGC 0333B, 14.71376, -16.46912, 0.054077 
NGC 0335, 14.83229, -18.23475, 0.019040 
IC 1608, 14.85156, -34.32893, 0.011551 
IC 0064, 14.85178, 27.05908, 0.045932 
IC 1609, 14.94425, -40.33354, 0.023076 
NGC 0337, 14.95836, -7.57804, 0.005504 
IC 0066, 15.13526, 30.79728, 0.016111 
NGC 0340, 15.14534, -6.86658, 0.020372 
NGC 0338, 15.15171, 30.66903, 0.015958 
WISEA J010038.47+301859.0, 15.16033, 30.31641, 0.017269 
NGC 0341, 15.19096, -9.18570, 0.015187 
NGC 0342, 15.20773, -6.77252, 0.019403 
NGC 0348, 15.21687, -53.24426, 0.029477 
IC 0070, 15.26649, 0.05069, 0.063424 
NGC 0345, 15.34199, -6.88427, 0.017592 
IC 0069, 15.34858, 31.04074, 0.016762 
NGC 0337A, 15.39141, -7.58824, 0.003582 
NGC 0347, 15.39657, -6.73370, 0.018630 
IC 1610, 15.42738, -15.56775, 0.018796 
WISEA J010143.53-091900.9, 15.43139, -9.31693, 0.015074 
NGC 0349, 15.46151, -6.79973, 0.019967 
NGC 0350, 15.48626, -6.79567, 0.020254 
NGC 0351, 15.49095, -1.93670, 0.013874 
NGC 0352, 15.53838, -4.24558, 0.017592 
NGC 0353, 15.60195, -1.95957, 0.013676 
NGC 0360, 15.71431, -65.61004, 0.007693 
NGC 0355, 15.77908, -6.32378, 0.024217 
NGC 0356, 15.77956, -6.98831, 0.019627 
NGC 0354, 15.81817, 22.34260, 0.015561 
NGC 0357, 15.84120, -6.33916, 0.007982 
IC 1615, 16.02935, -51.13302, 0.025588 
IC 1617, 16.07005, -51.03281, 0.025441 
NGC 0359, 16.07067, -0.76485, 0.017888 
NGC 0365, 16.07811, -35.12142, 0.033196 
NGC 0368, 16.09180, -43.27666, 0.029450 
NGC 0364, 16.17009, -0.80274, 0.017069 
IC 1613, 16.19917, 2.11772, -0.000781 
IC 0073, 16.22063, 4.76714, 0.020978 
IC 1616, 16.23404, -27.42942, 0.018796 
IC 1614, 16.27908, 33.18981, 0.081576 
NGC 0369, 16.28707, -17.75917, 0.020808 
NGC 0367, 16.45377, -12.12844, 0.025661 
IC 0074, 16.48319, 4.09026, 0.016732 
IC 1618, 16.48331, 32.41216, 0.015698 
NGC 0378, 16.55080, -30.17815, 0.032029 
NGC 0363, 16.56582, -16.54278, 0.037499 
NGC 0377, 16.64518, -20.33269, 0.053540 
NGC 0373, 16.74255, 32.30846, 0.018353 
NGC 0374, 16.77423, 32.79489, 0.016782 
NGC 0375, 16.77467, 32.34812, 0.019530 
IC 0075, 16.79852, 10.83689, 0.041115 
IC 1620, 16.80935, 13.95505, 0.038146 
NGC 0379, 16.81546, 32.52046, 0.018606 
NGC 0380, 16.82337, 32.48292, 0.014749 
IC 1619, 16.84348, 33.06732, 0.015687 
NGC 0391, 16.84411, 0.92595, 0.017829 
NGC 0382, 16.84975, 32.40402, 0.017442 
NGC 0383, 16.85403, 32.41253, 0.017005 
NGC 0406, 16.85421, -69.87914, 0.005030 
NGC 0384, 16.85423, 32.29276, 0.013943 
